pos:C,name:Kyle Higashioka,age:28,games:29,plate_appearances:79,at_bats:72,runs:6,hits:12,doubles:2,triples:0,home_runs:3,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:16,batting_avg:.167,onbase:.241,slugging:.319,ops:erc">.319,ops+:lugging">.560,bases:23,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Tyler Wade,age:23,games:36,plate_appearances:70,at_bats:66,runs:8,hits:11,doubles:4,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:23,batting_avg:.167,onbase:.214,slugging:.273,ops:erc">.273,ops+:lugging">.487,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Brandon Drury,age:25,games:18,plate_appearances:57,at_bats:51,runs:2,hits:9,doubles:2,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.176,onbase:.263,slugging:.275,ops:erc">.275,ops+:lugging">.538,bases:14,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Shane Robinson,age:33,games:25,plate_appearances:54,at_bats:49,runs:8,hits:7,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:6,batting_avg:.143,onbase:.208,slugging:.224,ops:erc">.224,ops+:lugging">.432,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Clint Frazier,age:23,games:15,plate_appearances:41,at_bats:34,runs:9,hits:9,doubles:3,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:13,batting_avg:.265,onbase:.390,slugging:.353,ops:erc">.353,ops+:lugging">.743,bases:12,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Adeiny Hechavarria,age:29,games:18,plate_appearances:37,at_bats:36,runs:3,hits:7,doubles:0,triples:0,home_runs:2,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.194,onbase:.216,slugging:.361,ops:erc">.361,ops+:lugging">.577,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jace Peterson,age:28,games:3,plate_appearances:11,at_bats:10,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:3,batting_avg:.300,onbase:.364,slugging:.300,ops:erc">.300,ops+:lugging">.664,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Billy McKinney,age:23,games:2,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Masahiro Tanaka,age:29,games:3,plate_appearances:6,at_bats:6,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Luis Severino,age:24,games:2,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Lance Lynn,age:31,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jonathan Loaisiga,age:23,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
