pos:C,name:Thurman Munson,age:28,games:157,plate_appearances:661,at_bats:597,runs:83,hits:190,doubles:24,triples:3,home_runs:12,runs_batted_in:102,stolen_bases:3,caught_stealing:2,walks:45,strikeouts:52,batting_avg:.318,onbase:.366,slugging:.429,ops:erc">.429,ops+:lugging">.795,bases:256,double_plays:23,hit_by_pitch:6,sac_hits:3,sac_flies:10,intentional_walks:8
pos:1B,name:Chris Chambliss,age:26,games:150,plate_appearances:603,at_bats:562,runs:66,hits:171,doubles:38,triples:4,home_runs:9,runs_batted_in:72,stolen_bases:0,caught_stealing:1,walks:29,strikeouts:50,batting_avg:.304,onbase:.336,slugging:.434,ops:erc">.434,ops+:lugging">.770,bases:244,double_plays:19,hit_by_pitch:1,sac_hits:4,sac_flies:6,intentional_walks:9
pos:2B,name:Sandy Alomar,age:31,games:151,plate_appearances:528,at_bats:489,runs:61,hits:117,doubles:18,triples:4,home_runs:2,runs_batted_in:39,stolen_bases:28,caught_stealing:6,walks:26,strikeouts:58,batting_avg:.239,onbase:.277,slugging:.305,ops:erc">.305,ops+:lugging">.581,bases:149,double_plays:6,hit_by_pitch:0,sac_hits:11,sac_flies:2,intentional_walks:0
pos:SS,name:Jim Mason,age:24,games:94,plate_appearances:251,at_bats:223,runs:17,hits:34,doubles:3,triples:2,home_runs:2,runs_batted_in:16,stolen_bases:0,caught_stealing:2,walks:22,strikeouts:49,batting_avg:.152,onbase:.228,slugging:.211,ops:erc">.211,ops+:lugging">.438,bases:47,double_plays:10,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:0
pos:3B,name:Graig Nettles,age:30,games:157,plate_appearances:647,at_bats:581,runs:71,hits:155,doubles:24,triples:4,home_runs:21,runs_batted_in:91,stolen_bases:1,caught_stealing:3,walks:51,strikeouts:88,batting_avg:.267,onbase:.322,slugging:.430,ops:erc">.430,ops+:lugging">.753,bases:250,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:11,intentional_walks:3
pos:LF,name:Roy White,age:31,games:148,plate_appearances:636,at_bats:556,runs:81,hits:161,doubles:32,triples:5,home_runs:12,runs_batted_in:59,stolen_bases:16,caught_stealing:15,walks:72,strikeouts:50,batting_avg:.290,onbase:.372,slugging:.430,ops:erc">.430,ops+:lugging">.802,bases:239,double_plays:5,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:1
pos:CF,name:Elliott Maddox,age:27,games:55,plate_appearances:251,at_bats:218,runs:36,hits:67,doubles:10,triples:3,home_runs:1,runs_batted_in:23,stolen_bases:9,caught_stealing:3,walks:21,strikeouts:24,batting_avg:.307,onbase:.382,slugging:.394,ops:erc">.394,ops+:lugging">.776,bases:86,double_plays:9,hit_by_pitch:7,sac_hits:2,sac_flies:3,intentional_walks:0
pos:RF,name:Bobby Bonds,age:29,games:145,plate_appearances:626,at_bats:529,runs:93,hits:143,doubles:26,triples:3,home_runs:32,runs_batted_in:85,stolen_bases:30,caught_stealing:17,walks:89,strikeouts:137,batting_avg:.270,onbase:.375,slugging:.512,ops:erc">.512,ops+:lugging">.888,bases:271,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:8
pos:DH,name:Ed Herrmann,age:28,games:80,plate_appearances:217,at_bats:200,runs:16,hits:51,doubles:9,triples:2,home_runs:6,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:23,batting_avg:.255,onbase:.309,slugging:.410,ops:erc">.410,ops+:lugging">.719,bases:82,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:5
pos:MI,name:Fred Stanley,age:27,games:117,plate_appearances:284,at_bats:252,runs:34,hits:56,doubles:5,triples:1,home_runs:0,runs_batted_in:15,stolen_bases:3,caught_stealing:1,walks:21,strikeouts:27,batting_avg:.222,onbase:.283,slugging:.250,ops:erc">.250,ops+:lugging">.533,bases:63,double_plays:8,hit_by_pitch:1,sac_hits:8,sac_flies:2,intentional_walks:0
pos:RF,name:Lou Piniella,age:31,games:74,plate_appearances:221,at_bats:199,runs:7,hits:39,doubles:4,triples:1,home_runs:0,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:22,batting_avg:.196,onbase:.262,slugging:.226,ops:erc">.226,ops+:lugging">.489,bases:45,double_plays:13,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:3
