pos:C,name:Jorge Posada,age:32,games:137,plate_appearances:547,at_bats:449,runs:72,hits:122,doubles:31,triples:0,home_runs:21,runs_batted_in:81,stolen_bases:1,caught_stealing:3,walks:88,strikeouts:92,batting_avg:.272,onbase:.400,slugging:.481,ops:erc">.481,ops+:lugging">.881,bases:216,double_plays:24,hit_by_pitch:9,sac_hits:0,sac_flies:1,intentional_walks:5
pos:1B,name:Tony Clark,age:32,games:106,plate_appearances:283,at_bats:253,runs:37,hits:56,doubles:12,triples:0,home_runs:16,runs_batted_in:49,stolen_bases:0,caught_stealing:0,walks:26,strikeouts:92,batting_avg:.221,onbase:.297,slugging:.458,ops:erc">.458,ops+:lugging">.755,bases:116,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:3
pos:2B,name:Miguel Cairo,age:30,games:122,plate_appearances:408,at_bats:360,runs:48,hits:105,doubles:17,triples:5,home_runs:6,runs_batted_in:42,stolen_bases:11,caught_stealing:3,walks:18,strikeouts:49,batting_avg:.292,onbase:.346,slugging:.417,ops:erc">.417,ops+:lugging">.763,bases:150,double_plays:7,hit_by_pitch:14,sac_hits:12,sac_flies:4,intentional_walks:1
pos:SS,name:Derek Jeter,age:30,games:154,plate_appearances:721,at_bats:643,runs:111,hits:188,doubles:44,triples:1,home_runs:23,runs_batted_in:78,stolen_bases:23,caught_stealing:4,walks:46,strikeouts:99,batting_avg:.292,onbase:.352,slugging:.471,ops:erc">.471,ops+:lugging">.823,bases:303,double_plays:19,hit_by_pitch:14,sac_hits:16,sac_flies:2,intentional_walks:1
pos:3B,name:Alex Rodriguez,age:28,games:155,plate_appearances:698,at_bats:601,runs:112,hits:172,doubles:24,triples:2,home_runs:36,runs_batted_in:106,stolen_bases:28,caught_stealing:4,walks:80,strikeouts:131,batting_avg:.286,onbase:.375,slugging:.512,ops:erc">.512,ops+:lugging">.888,bases:308,double_plays:18,hit_by_pitch:10,sac_hits:0,sac_flies:7,intentional_walks:6
pos:LF,name:Hideki Matsui,age:30,games:162,plate_appearances:680,at_bats:584,runs:109,hits:174,doubles:34,triples:2,home_runs:31,runs_batted_in:108,stolen_bases:3,caught_stealing:0,walks:88,strikeouts:103,batting_avg:.298,onbase:.390,slugging:.522,ops:erc">.522,ops+:lugging">.912,bases:305,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:2
pos:CF,name:Bernie Williams,age:35,games:148,plate_appearances:651,at_bats:561,runs:105,hits:147,doubles:29,triples:1,home_runs:22,runs_batted_in:70,stolen_bases:1,caught_stealing:5,walks:85,strikeouts:96,batting_avg:.262,onbase:.360,slugging:.435,ops:erc">.435,ops+:lugging">.795,bases:244,double_plays:19,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:5
pos:RF,name:Gary Sheffield,age:35,games:154,plate_appearances:684,at_bats:573,runs:117,hits:166,doubles:30,triples:1,home_runs:36,runs_batted_in:121,stolen_bases:5,caught_stealing:6,walks:92,strikeouts:83,batting_avg:.290,onbase:.393,slugging:.534,ops:erc">.534,ops+:lugging">.927,bases:306,double_plays:16,hit_by_pitch:11,sac_hits:0,sac_flies:8,intentional_walks:7
pos:DH,name:Ruben Sierra,age:38,games:107,plate_appearances:338,at_bats:307,runs:40,hits:75,doubles:12,triples:1,home_runs:17,runs_batted_in:65,stolen_bases:1,caught_stealing:0,walks:25,strikeouts:55,batting_avg:.244,onbase:.296,slugging:.456,ops:erc">.456,ops+:lugging">.752,bases:140,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:6,intentional_walks:4
pos:1B,name:Jason Giambi,age:33,games:80,plate_appearances:322,at_bats:264,runs:33,hits:55,doubles:9,triples:0,home_runs:12,runs_batted_in:40,stolen_bases:0,caught_stealing:1,walks:47,strikeouts:62,batting_avg:.208,onbase:.342,slugging:.379,ops:erc">.379,ops+:lugging">.720,bases:100,double_plays:5,hit_by_pitch:8,sac_hits:0,sac_flies:3,intentional_walks:1
pos:CF,name:Kenny Lofton,age:37,games:83,plate_appearances:313,at_bats:276,runs:51,hits:76,doubles:10,triples:7,home_runs:3,runs_batted_in:18,stolen_bases:7,caught_stealing:3,walks:31,strikeouts:27,batting_avg:.275,onbase:.346,slugging:.395,ops:erc">.395,ops+:lugging">.741,bases:109,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:4,intentional_walks:1
pos:2B,name:Enrique Wilson,age:30,games:93,plate_appearances:262,at_bats:240,runs:19,hits:51,doubles:9,triples:0,home_runs:6,runs_batted_in:31,stolen_bases:1,caught_stealing:2,walks:15,strikeouts:20,batting_avg:.213,onbase:.254,slugging:.325,ops:erc">.325,ops+:lugging">.579,bases:78,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:5,intentional_walks:0
pos:1B,name:John Olerud,age:35,games:49,plate_appearances:188,at_bats:164,runs:16,hits:46,doubles:7,triples:0,home_runs:4,runs_batted_in:26,stolen_bases:0,caught_stealing:0,walks:21,strikeouts:20,batting_avg:.280,onbase:.367,slugging:.396,ops:erc">.396,ops+:lugging">.763,bases:65,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:John Flaherty,age:36,games:47,plate_appearances:135,at_bats:127,runs:11,hits:32,doubles:9,triples:0,home_runs:6,runs_batted_in:16,stolen_bases:0,caught_stealing:2,walks:5,strikeouts:25,batting_avg:.252,onbase:.286,slugging:.465,ops:erc">.465,ops+:lugging">.750,bases:59,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:2
pos:OF,name:Bubba Crosby,age:27,games:55,plate_appearances:58,at_bats:53,runs:8,hits:8,doubles:2,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:2,caught_stealing:0,walks:2,strikeouts:13,batting_avg:.151,onbase:.196,slugging:.302,ops:erc">.302,ops+:lugging">.498,bases:16,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:1B,name:Travis Lee,age:29,games:7,plate_appearances:20,at_bats:19,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.105,onbase:.150,slugging:.158,ops:erc">.158,ops+:lugging">.308,bases:3,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:SS,name:Felix Escalona,age:25,games:5,plate_appearances:9,at_bats:8,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.111,slugging:.000,ops:erc">.000,ops+:lugging">.111,bases:0,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Andy Phillips,age:27,games:5,plate_appearances:8,at_bats:8,runs:1,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.625,ops:erc">.625,ops+:lugging">.875,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Homer Bush,age:31,games:9,plate_appearances:8,at_bats:7,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.125,slugging:.000,ops:erc">.000,ops+:lugging">.125,bases:0,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Dioner Navarro,age:20,games:5,plate_appearances:7,at_bats:7,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.429,onbase:.429,slugging:.429,ops:erc">.429,ops+:lugging">.857,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jose Contreras,age:32,games:3,plate_appearances:8,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Javier Vazquez,age:27,games:2,plate_appearances:5,at_bats:4,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.500,ops:erc">.500,ops+:lugging">.750,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tanyon Sturtze,age:33,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jon Lieber,age:34,games:1,plate_appearances:3,at_bats:3,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brad Halsey,age:23,games:1,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Paul Quantrill,age:35,games:6,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Mussina,age:35,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Gordon,age:36,games:4,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Donovan Osborne,age:35,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jorge De Paula,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sam Marsonek,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Karsay,age:32,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Felix Heredia,age:29,games:5,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bret Prinz,age:27,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Proctor,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gabe White,age:32,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mariano Rivera,age:34,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Esteban Loaiza,age:32,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Orlando Hernandez,age:38,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Alex Graman,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Brown,age:39,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Juan Padilla,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
