pos:C,name:Brian McCann,age:28,games:121,plate_appearances:487,at_bats:439,runs:44,hits:101,doubles:14,triples:0,home_runs:20,runs_batted_in:67,stolen_bases:3,caught_stealing:0,walks:44,strikeouts:76,batting_avg:.230,onbase:.300,slugging:.399,ops:erc">.399,ops+:lugging">.698,bases:175,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:7
pos:1B,name:Freddie Freeman,age:22,games:147,plate_appearances:620,at_bats:540,runs:91,hits:140,doubles:33,triples:2,home_runs:23,runs_batted_in:94,stolen_bases:2,caught_stealing:0,walks:64,strikeouts:129,batting_avg:.259,onbase:.340,slugging:.456,ops:erc">.456,ops+:lugging">.796,bases:246,double_plays:10,hit_by_pitch:7,sac_hits:0,sac_flies:9,intentional_walks:4
pos:2B,name:Dan Uggla,age:32,games:154,plate_appearances:630,at_bats:523,runs:86,hits:115,doubles:29,triples:0,home_runs:19,runs_batted_in:78,stolen_bases:4,caught_stealing:3,walks:94,strikeouts:168,batting_avg:.220,onbase:.348,slugging:.384,ops:erc">.384,ops+:lugging">.732,bases:201,double_plays:8,hit_by_pitch:10,sac_hits:0,sac_flies:3,intentional_walks:5
pos:SS,name:Paul Janish,age:29,games:55,plate_appearances:186,at_bats:167,runs:18,hits:31,doubles:6,triples:1,home_runs:0,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:17,strikeouts:30,batting_avg:.186,onbase:.269,slugging:.234,ops:erc">.234,ops+:lugging">.502,bases:39,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Chipper Jones,age:40,games:112,plate_appearances:448,at_bats:387,runs:58,hits:111,doubles:23,triples:0,home_runs:14,runs_batted_in:62,stolen_bases:1,caught_stealing:0,walks:57,strikeouts:51,batting_avg:.287,onbase:.377,slugging:.455,ops:erc">.455,ops+:lugging">.832,bases:176,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:6
pos:LF,name:Martin Prado,age:28,games:156,plate_appearances:690,at_bats:617,runs:81,hits:186,doubles:42,triples:6,home_runs:10,runs_batted_in:70,stolen_bases:17,caught_stealing:4,walks:58,strikeouts:69,batting_avg:.301,onbase:.359,slugging:.438,ops:erc">.438,ops+:lugging">.796,bases:270,double_plays:19,hit_by_pitch:2,sac_hits:4,sac_flies:9,intentional_walks:2
pos:CF,name:Michael Bourn,age:29,games:155,plate_appearances:703,at_bats:624,runs:96,hits:171,doubles:26,triples:10,home_runs:9,runs_batted_in:57,stolen_bases:42,caught_stealing:13,walks:70,strikeouts:155,batting_avg:.274,onbase:.348,slugging:.391,ops:erc">.391,ops+:lugging">.739,bases:244,double_plays:2,hit_by_pitch:3,sac_hits:2,sac_flies:4,intentional_walks:1
pos:RF,name:Jason Heyward,age:22,games:158,plate_appearances:651,at_bats:587,runs:93,hits:158,doubles:30,triples:6,home_runs:27,runs_batted_in:82,stolen_bases:21,caught_stealing:8,walks:58,strikeouts:152,batting_avg:.269,onbase:.335,slugging:.479,ops:erc">.479,ops+:lugging">.814,bases:281,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:1
pos:3B,name:Juan Francisco,age:25,games:93,plate_appearances:205,at_bats:192,runs:17,hits:45,doubles:11,triples:0,home_runs:9,runs_batted_in:32,stolen_bases:1,caught_stealing:1,walks:11,strikeouts:70,batting_avg:.234,onbase:.278,slugging:.432,ops:erc">.432,ops+:lugging">.710,bases:83,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:David Ross,age:35,games:62,plate_appearances:196,at_bats:176,runs:18,hits:45,doubles:7,triples:0,home_runs:9,runs_batted_in:23,stolen_bases:1,caught_stealing:0,walks:18,strikeouts:60,batting_avg:.256,onbase:.321,slugging:.449,ops:erc">.449,ops+:lugging">.770,bases:79,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:SS,name:Tyler Pastornicky,age:22,games:76,plate_appearances:188,at_bats:169,runs:21,hits:41,doubles:6,triples:1,home_runs:2,runs_batted_in:13,stolen_bases:2,caught_stealing:0,walks:10,strikeouts:32,batting_avg:.243,onbase:.287,slugging:.325,ops:erc">.325,ops+:lugging">.613,bases:55,double_plays:5,hit_by_pitch:1,sac_hits:7,sac_flies:1,intentional_walks:1
