pos:2B,name:Kelly Johnson,age:34,games:49,plate_appearances:132,at_bats:121,runs:8,hits:26,doubles:6,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:25,batting_avg:.215,onbase:.273,slugging:.289,ops:erc">.289,ops+:lugging">.562,bases:35,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Anthony Recker,age:32,games:33,plate_appearances:112,at_bats:90,runs:6,hits:25,doubles:8,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:1,caught_stealing:0,walks:16,strikeouts:22,batting_avg:.278,onbase:.394,slugging:.433,ops:erc">.433,ops+:lugging">.828,bases:39,double_plays:0,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:1
pos:UT,name:Brandon Snyder,age:29,games:37,plate_appearances:47,at_bats:46,runs:8,hits:11,doubles:5,triples:1,home_runs:4,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:16,batting_avg:.239,onbase:.255,slugging:.652,ops:erc">.652,ops+:lugging">.907,bases:30,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Emilio Bonifacio,age:31,games:24,plate_appearances:43,at_bats:38,runs:6,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:12,batting_avg:.211,onbase:.268,slugging:.211,ops:erc">.211,ops+:lugging">.479,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Drew Stubbs,age:31,games:20,plate_appearances:42,at_bats:38,runs:6,hits:9,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:4,caught_stealing:0,walks:4,strikeouts:20,batting_avg:.237,onbase:.310,slugging:.316,ops:erc">.316,ops+:lugging">.625,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Reid Brignac,age:30,games:13,plate_appearances:29,at_bats:29,runs:3,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.207,onbase:.207,slugging:.276,ops:erc">.276,ops+:lugging">.483,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Hector Olivera,age:31,games:6,plate_appearances:21,at_bats:19,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.211,onbase:.238,slugging:.263,ops:erc">.263,ops+:lugging">.501,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Blake Lalli,age:33,games:10,plate_appearances:13,at_bats:13,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.154,onbase:.154,slugging:.231,ops:erc">.231,ops+:lugging">.385,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Rio Ruiz,age:22,games:5,plate_appearances:7,at_bats:7,runs:1,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.286,onbase:.286,slugging:.571,ops:erc">.571,ops+:lugging">.857,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Matt Tuiasosopo,age:30,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Julio Teheran,age:25,games:29,plate_appearances:61,at_bats:49,runs:1,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:16,batting_avg:.204,onbase:.220,slugging:.224,ops:erc">.224,ops+:lugging">.444,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:11,sac_flies:0,intentional_walks:0
