pos:C,name:Bob Didier,age:23,games:13,plate_appearances:44,at_bats:40,runs:5,hits:12,doubles:2,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.300,onbase:.341,slugging:.400,ops:erc">.400,ops+:lugging">.741,bases:16,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Rod Gilbreath,age:19,games:18,plate_appearances:41,at_bats:38,runs:2,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:10,batting_avg:.237,onbase:.293,slugging:.263,ops:erc">.263,ops+:lugging">.556,bases:10,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Rowland Office,age:19,games:2,plate_appearances:6,at_bats:5,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.400,onbase:.500,slugging:.400,ops:erc">.400,ops+:lugging">.900,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Phil Niekro,age:33,games:38,plate_appearances:108,at_bats:93,runs:7,hits:18,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:22,batting_avg:.194,onbase:.216,slugging:.237,ops:erc">.237,ops+:lugging">.453,bases:22,double_plays:2,hit_by_pitch:2,sac_hits:11,sac_flies:1,intentional_walks:0
pos:P,name:Ron Reed,age:29,games:31,plate_appearances:80,at_bats:73,runs:5,hits:13,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:21,batting_avg:.178,onbase:.173,slugging:.192,ops:erc">.192,ops+:lugging">.365,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:2,intentional_walks:0
pos:P,name:Ron Schueler,age:24,games:37,plate_appearances:45,at_bats:42,runs:1,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:17,batting_avg:.190,onbase:.209,slugging:.214,ops:erc">.214,ops+:lugging">.424,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Tom Kelley,age:28,games:27,plate_appearances:38,at_bats:34,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:13,batting_avg:.088,onbase:.139,slugging:.088,ops:erc">.088,ops+:lugging">.227,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:George Stone,age:25,games:33,plate_appearances:38,at_bats:25,runs:2,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:6,batting_avg:.200,onbase:.344,slugging:.200,ops:erc">.200,ops+:lugging">.544,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:0
pos:P,name:Jim Hardin,age:28,games:26,plate_appearances:29,at_bats:21,runs:3,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.095,onbase:.269,slugging:.238,ops:erc">.238,ops+:lugging">.507,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Pat Jarvis,age:31,games:37,plate_appearances:28,at_bats:24,runs:2,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.125,onbase:.160,slugging:.208,ops:erc">.208,ops+:lugging">.368,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
