pos:1B,name:Jack Pierce,age:25,games:6,plate_appearances:10,at_bats:9,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.111,onbase:.200,slugging:.111,ops:erc">.111,ops+:lugging">.311,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Rod Gilbreath,age:21,games:3,plate_appearances:9,at_bats:6,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:0,batting_avg:.333,onbase:.500,slugging:.333,ops:erc">.333,ops+:lugging">.833,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Larvell Blanks,age:24,games:3,plate_appearances:8,at_bats:8,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Sonny Jackson,age:29,games:5,plate_appearances:7,at_bats:7,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:0,batting_avg:.429,onbase:.429,slugging:.429,ops:erc">.429,ops+:lugging">.857,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:John Fuller,age:24,games:3,plate_appearances:3,at_bats:3,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Phil Niekro,age:35,games:41,plate_appearances:118,at_bats:104,runs:5,hits:20,doubles:2,triples:0,home_runs:0,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:18,batting_avg:.192,onbase:.220,slugging:.212,ops:erc">.212,ops+:lugging">.432,bases:22,double_plays:1,hit_by_pitch:1,sac_hits:9,sac_flies:1,intentional_walks:0
pos:P,name:Carl Morton,age:30,games:38,plate_appearances:107,at_bats:89,runs:8,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:33,batting_avg:.112,onbase:.168,slugging:.124,ops:erc">.124,ops+:lugging">.292,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:P,name:Buzz Capra,age:26,games:39,plate_appearances:82,at_bats:67,runs:4,hits:11,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:23,batting_avg:.164,onbase:.253,slugging:.164,ops:erc">.164,ops+:lugging">.418,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Ron Reed,age:31,games:28,plate_appearances:66,at_bats:57,runs:5,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:18,batting_avg:.105,onbase:.136,slugging:.105,ops:erc">.105,ops+:lugging">.241,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Roric Harrison,age:27,games:20,plate_appearances:46,at_bats:38,runs:5,hits:7,doubles:0,triples:0,home_runs:3,runs_batted_in:5,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:12,batting_avg:.184,onbase:.225,slugging:.421,ops:erc">.421,ops+:lugging">.646,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
