pos:C,name:Brian McCann,age:25,games:138,plate_appearances:551,at_bats:488,runs:63,hits:137,doubles:35,triples:1,home_runs:21,runs_batted_in:94,stolen_bases:4,caught_stealing:1,walks:49,strikeouts:83,batting_avg:.281,onbase:.349,slugging:.486,ops:erc">.486,ops+:lugging">.834,bases:237,double_plays:17,hit_by_pitch:5,sac_hits:3,sac_flies:6,intentional_walks:3
pos:1B,name:Casey Kotchman,age:26,games:87,plate_appearances:336,at_bats:298,runs:28,hits:84,doubles:20,triples:0,home_runs:6,runs_batted_in:41,stolen_bases:0,caught_stealing:0,walks:32,strikeouts:28,batting_avg:.282,onbase:.354,slugging:.409,ops:erc">.409,ops+:lugging">.764,bases:122,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:6
pos:2B,name:Kelly Johnson,age:27,games:106,plate_appearances:346,at_bats:303,runs:47,hits:68,doubles:20,triples:3,home_runs:8,runs_batted_in:29,stolen_bases:7,caught_stealing:2,walks:32,strikeouts:54,batting_avg:.224,onbase:.303,slugging:.389,ops:erc">.389,ops+:lugging">.692,bases:118,double_plays:4,hit_by_pitch:3,sac_hits:6,sac_flies:2,intentional_walks:1
pos:SS,name:Yunel Escobar,age:26,games:141,plate_appearances:604,at_bats:528,runs:89,hits:158,doubles:26,triples:2,home_runs:14,runs_batted_in:76,stolen_bases:5,caught_stealing:4,walks:57,strikeouts:62,batting_avg:.299,onbase:.377,slugging:.436,ops:erc">.436,ops+:lugging">.812,bases:230,double_plays:21,hit_by_pitch:10,sac_hits:7,sac_flies:2,intentional_walks:3
pos:3B,name:Chipper Jones,age:37,games:143,plate_appearances:596,at_bats:488,runs:80,hits:129,doubles:23,triples:2,home_runs:18,runs_batted_in:71,stolen_bases:4,caught_stealing:1,walks:101,strikeouts:89,batting_avg:.264,onbase:.388,slugging:.430,ops:erc">.430,ops+:lugging">.818,bases:210,double_plays:14,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:18
pos:LF,name:Garret Anderson,age:37,games:135,plate_appearances:534,at_bats:496,runs:52,hits:133,doubles:27,triples:0,home_runs:13,runs_batted_in:61,stolen_bases:1,caught_stealing:0,walks:27,strikeouts:73,batting_avg:.268,onbase:.303,slugging:.401,ops:erc">.401,ops+:lugging">.705,bases:199,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:9,intentional_walks:2
pos:CF,name:Nate McLouth,age:27,games:84,plate_appearances:396,at_bats:339,runs:59,hits:87,doubles:20,triples:1,home_runs:11,runs_batted_in:36,stolen_bases:12,caught_stealing:6,walks:47,strikeouts:70,batting_avg:.257,onbase:.354,slugging:.419,ops:erc">.419,ops+:lugging">.773,bases:142,double_plays:6,hit_by_pitch:5,sac_hits:3,sac_flies:2,intentional_walks:1
pos:RF,name:Jeff Francoeur,age:25,games:82,plate_appearances:324,at_bats:304,runs:32,hits:76,doubles:12,triples:2,home_runs:5,runs_batted_in:35,stolen_bases:5,caught_stealing:1,walks:12,strikeouts:46,batting_avg:.250,onbase:.282,slugging:.352,ops:erc">.352,ops+:lugging">.634,bases:107,double_plays:10,hit_by_pitch:3,sac_hits:1,sac_flies:4,intentional_walks:2
pos:IF,name:Martin Prado,age:25,games:128,plate_appearances:503,at_bats:450,runs:64,hits:138,doubles:38,triples:0,home_runs:11,runs_batted_in:49,stolen_bases:1,caught_stealing:3,walks:36,strikeouts:59,batting_avg:.307,onbase:.358,slugging:.464,ops:erc">.464,ops+:lugging">.822,bases:209,double_plays:17,hit_by_pitch:2,sac_hits:11,sac_flies:4,intentional_walks:1
pos:OF,name:Matt Diaz,age:31,games:125,plate_appearances:425,at_bats:371,runs:56,hits:116,doubles:18,triples:4,home_runs:13,runs_batted_in:58,stolen_bases:12,caught_stealing:5,walks:35,strikeouts:90,batting_avg:.313,onbase:.390,slugging:.488,ops:erc">.488,ops+:lugging">.878,bases:181,double_plays:14,hit_by_pitch:13,sac_hits:5,sac_flies:1,intentional_walks:2
pos:1B,name:Adam LaRoche,age:29,games:57,plate_appearances:242,at_bats:212,runs:30,hits:69,doubles:11,triples:1,home_runs:12,runs_batted_in:40,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:59,batting_avg:.325,onbase:.401,slugging:.557,ops:erc">.557,ops+:lugging">.957,bases:118,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:6
pos:2B,name:Omar Infante,age:27,games:70,plate_appearances:229,at_bats:203,runs:24,hits:62,doubles:9,triples:1,home_runs:2,runs_batted_in:27,stolen_bases:2,caught_stealing:0,walks:19,strikeouts:28,batting_avg:.305,onbase:.361,slugging:.389,ops:erc">.389,ops+:lugging">.750,bases:79,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:4,intentional_walks:0
pos:CF,name:Jordan Schafer,age:22,games:50,plate_appearances:195,at_bats:167,runs:18,hits:34,doubles:8,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:2,caught_stealing:1,walks:27,strikeouts:63,batting_avg:.204,onbase:.313,slugging:.287,ops:erc">.287,ops+:lugging">.600,bases:48,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:C,name:David Ross,age:32,games:54,plate_appearances:151,at_bats:128,runs:18,hits:35,doubles:9,triples:0,home_runs:7,runs_batted_in:20,stolen_bases:0,caught_stealing:0,walks:21,strikeouts:39,batting_avg:.273,onbase:.380,slugging:.508,ops:erc">.508,ops+:lugging">.888,bases:65,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Ryan Church,age:30,games:44,plate_appearances:144,at_bats:127,runs:20,hits:33,doubles:12,triples:0,home_runs:2,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:22,batting_avg:.260,onbase:.347,slugging:.402,ops:erc">.402,ops+:lugging">.749,bases:51,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
pos:1B,name:Greg Norton,age:36,games:95,plate_appearances:97,at_bats:76,runs:3,hits:11,doubles:2,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:20,batting_avg:.145,onbase:.330,slugging:.171,ops:erc">.171,ops+:lugging">.501,bases:13,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Diory Hernandez,age:25,games:33,plate_appearances:93,at_bats:85,runs:6,hits:12,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:22,batting_avg:.141,onbase:.198,slugging:.212,ops:erc">.212,ops+:lugging">.410,bases:18,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:3
pos:2B,name:Brooks Conrad,age:29,games:30,plate_appearances:58,at_bats:54,runs:7,hits:11,doubles:1,triples:2,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.204,onbase:.259,slugging:.407,ops:erc">.407,ops+:lugging">.666,bases:22,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
