pos:IF,name:Ruben Gotay,age:25,games:88,plate_appearances:117,at_bats:102,runs:10,hits:24,doubles:5,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:1,caught_stealing:1,walks:13,strikeouts:32,batting_avg:.235,onbase:.322,slugging:.343,ops:erc">.343,ops+:lugging">.665,bases:35,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:SS,name:Brent Lillibridge,age:24,games:29,plate_appearances:85,at_bats:80,runs:9,hits:16,doubles:6,triples:1,home_runs:1,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:3,strikeouts:23,batting_avg:.200,onbase:.238,slugging:.338,ops:erc">.338,ops+:lugging">.576,bases:27,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Corky Miller,age:32,games:31,plate_appearances:67,at_bats:60,runs:4,hits:5,doubles:0,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:15,batting_avg:.083,onbase:.152,slugging:.133,ops:erc">.133,ops+:lugging">.285,bases:8,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Clint Sammons,age:25,games:23,plate_appearances:59,at_bats:54,runs:2,hits:8,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.148,onbase:.220,slugging:.204,ops:erc">.204,ops+:lugging">.424,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Jason Perry,age:27,games:4,plate_appearances:17,at_bats:17,runs:0,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.118,onbase:.118,slugging:.235,ops:erc">.235,ops+:lugging">.353,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Brayan Pena,age:26,games:14,plate_appearances:15,at_bats:14,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.286,onbase:.333,slugging:.357,ops:erc">.357,ops+:lugging">.690,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jair Jurrjens,age:22,games:36,plate_appearances:71,at_bats:58,runs:7,hits:6,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:18,batting_avg:.103,onbase:.188,slugging:.138,ops:erc">.138,ops+:lugging">.325,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Jorge Campillo,age:29,games:38,plate_appearances:51,at_bats:45,runs:4,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:16,batting_avg:.178,onbase:.196,slugging:.200,ops:erc">.200,ops+:lugging">.396,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Tim Hudson,age:32,games:21,plate_appearances:49,at_bats:41,runs:2,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.146,onbase:.167,slugging:.171,ops:erc">.171,ops+:lugging">.337,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Jo-Jo Reyes,age:23,games:22,plate_appearances:34,at_bats:30,runs:2,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.133,onbase:.161,slugging:.200,ops:erc">.200,ops+:lugging">.361,bases:6,double_plays:3,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Mike Hampton,age:35,games:13,plate_appearances:29,at_bats:24,runs:3,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.208,onbase:.269,slugging:.292,ops:erc">.292,ops+:lugging">.561,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Tom Glavine,age:42,games:14,plate_appearances:25,at_bats:19,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.105,onbase:.227,slugging:.105,ops:erc">.105,ops+:lugging">.333,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Morton,age:24,games:14,plate_appearances:20,at_bats:17,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:9,batting_avg:.059,onbase:.059,slugging:.118,ops:erc">.118,ops+:lugging">.176,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Bennett,age:28,games:68,plate_appearances:12,at_bats:9,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.222,onbase:.364,slugging:.333,ops:erc">.333,ops+:lugging">.697,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Buddy Carlyle,age:30,games:45,plate_appearances:10,at_bats:9,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.222,onbase:.300,slugging:.222,ops:erc">.222,ops+:lugging">.522,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:James Parr,age:22,games:6,plate_appearances:10,at_bats:8,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.250,onbase:.400,slugging:.375,ops:erc">.375,ops+:lugging">.775,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Smoltz,age:41,games:6,plate_appearances:9,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Chuck James,age:26,games:7,plate_appearances:8,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
