pos:3B,name:Andy Marte,age:21,games:24,plate_appearances:66,at_bats:57,runs:3,hits:8,doubles:2,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:7,strikeouts:13,batting_avg:.140,onbase:.227,slugging:.211,ops:erc">.211,ops+:lugging">.438,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Todd Hollandsworth,age:32,games:24,plate_appearances:40,at_bats:35,runs:3,hits:6,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:13,batting_avg:.171,onbase:.275,slugging:.257,ops:erc">.257,ops+:lugging">.532,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Brayan Pena,age:23,games:18,plate_appearances:40,at_bats:39,runs:2,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.179,onbase:.200,slugging:.231,ops:erc">.231,ops+:lugging">.431,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Eddie Perez,age:37,games:16,plate_appearances:39,at_bats:38,runs:3,hits:8,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.211,onbase:.231,slugging:.421,ops:erc">.421,ops+:lugging">.652,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Smoltz,age:38,games:32,plate_appearances:83,at_bats:68,runs:1,hits:10,doubles:2,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:26,batting_avg:.147,onbase:.183,slugging:.206,ops:erc">.206,ops+:lugging">.389,bases:14,double_plays:3,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:P,name:Horacio Ramirez,age:25,games:34,plate_appearances:77,at_bats:73,runs:4,hits:16,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:17,batting_avg:.219,onbase:.230,slugging:.260,ops:erc">.260,ops+:lugging">.490,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Tim Hudson,age:29,games:27,plate_appearances:72,at_bats:65,runs:2,hits:9,doubles:2,triples:1,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:26,batting_avg:.138,onbase:.176,slugging:.200,ops:erc">.200,ops+:lugging">.376,bases:13,double_plays:4,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:John Thomson,age:31,games:17,plate_appearances:36,at_bats:25,runs:2,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:12,batting_avg:.200,onbase:.259,slugging:.280,ops:erc">.280,ops+:lugging">.539,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Jorge Sosa,age:27,games:43,plate_appearances:35,at_bats:31,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:15,batting_avg:.097,onbase:.125,slugging:.097,ops:erc">.097,ops+:lugging">.222,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Mike Hampton,age:32,games:12,plate_appearances:29,at_bats:25,runs:4,hits:8,doubles:1,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.320,onbase:.346,slugging:.480,ops:erc">.480,ops+:lugging">.826,bases:12,double_plays:2,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Kyle Davies,age:21,games:19,plate_appearances:28,at_bats:15,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.200,onbase:.278,slugging:.200,ops:erc">.200,ops+:lugging">.478,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:10,sac_flies:1,intentional_walks:0
pos:P,name:Roman Colon,age:25,games:21,plate_appearances:8,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Seth Greisinger,age:29,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
