pos:C,name:Tony Pena,age:30,games:116,plate_appearances:425,at_bats:384,runs:40,hits:82,doubles:13,triples:4,home_runs:5,runs_batted_in:44,stolen_bases:6,caught_stealing:1,walks:36,strikeouts:54,batting_avg:.214,onbase:.281,slugging:.307,ops:erc">.307,ops+:lugging">.589,bases:118,double_plays:19,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:9
pos:1B,name:Jack Clark,age:31,games:131,plate_appearances:559,at_bats:419,runs:93,hits:120,doubles:23,triples:1,home_runs:35,runs_batted_in:106,stolen_bases:1,caught_stealing:2,walks:136,strikeouts:139,batting_avg:.286,onbase:.459,slugging:.597,ops:erc">.597,ops+:lugging">1.055,bases:250,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:13
pos:2B,name:Tom Herr,age:31,games:141,plate_appearances:598,at_bats:510,runs:73,hits:134,doubles:29,triples:0,home_runs:2,runs_batted_in:83,stolen_bases:19,caught_stealing:4,walks:68,strikeouts:62,batting_avg:.263,onbase:.346,slugging:.331,ops:erc">.331,ops+:lugging">.677,bases:169,double_plays:12,hit_by_pitch:3,sac_hits:4,sac_flies:12,intentional_walks:3
pos:SS,name:Ozzie Smith,age:32,games:158,plate_appearances:706,at_bats:600,runs:104,hits:182,doubles:40,triples:4,home_runs:0,runs_batted_in:75,stolen_bases:43,caught_stealing:9,walks:89,strikeouts:36,batting_avg:.303,onbase:.392,slugging:.383,ops:erc">.383,ops+:lugging">.775,bases:230,double_plays:9,hit_by_pitch:1,sac_hits:12,sac_flies:4,intentional_walks:3
pos:3B,name:Terry Pendleton,age:26,games:159,plate_appearances:667,at_bats:583,runs:82,hits:167,doubles:29,triples:4,home_runs:12,runs_batted_in:96,stolen_bases:19,caught_stealing:12,walks:70,strikeouts:74,batting_avg:.286,onbase:.360,slugging:.412,ops:erc">.412,ops+:lugging">.772,bases:240,double_plays:18,hit_by_pitch:2,sac_hits:3,sac_flies:9,intentional_walks:6
pos:LF,name:Vince Coleman,age:25,games:151,plate_appearances:702,at_bats:623,runs:121,hits:180,doubles:14,triples:10,home_runs:3,runs_batted_in:43,stolen_bases:109,caught_stealing:22,walks:70,strikeouts:126,batting_avg:.289,onbase:.363,slugging:.358,ops:erc">.358,ops+:lugging">.721,bases:223,double_plays:7,hit_by_pitch:3,sac_hits:5,sac_flies:1,intentional_walks:0
pos:CF,name:Willie McGee,age:28,games:153,plate_appearances:652,at_bats:620,runs:76,hits:177,doubles:37,triples:11,home_runs:11,runs_batted_in:105,stolen_bases:16,caught_stealing:4,walks:24,strikeouts:90,batting_avg:.285,onbase:.312,slugging:.434,ops:erc">.434,ops+:lugging">.746,bases:269,double_plays:24,hit_by_pitch:2,sac_hits:1,sac_flies:5,intentional_walks:5
pos:RF,name:Curt Ford,age:26,games:89,plate_appearances:247,at_bats:228,runs:32,hits:65,doubles:9,triples:5,home_runs:3,runs_batted_in:26,stolen_bases:11,caught_stealing:8,walks:14,strikeouts:32,batting_avg:.285,onbase:.325,slugging:.408,ops:erc">.408,ops+:lugging">.733,bases:93,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:0
pos:UT,name:Jose Oquendo,age:23,games:116,plate_appearances:312,at_bats:248,runs:43,hits:71,doubles:9,triples:0,home_runs:1,runs_batted_in:24,stolen_bases:4,caught_stealing:4,walks:54,strikeouts:29,batting_avg:.286,onbase:.408,slugging:.335,ops:erc">.335,ops+:lugging">.743,bases:83,double_plays:6,hit_by_pitch:0,sac_hits:6,sac_flies:4,intentional_walks:6
pos:RF,name:Jim Lindeman,age:25,games:75,plate_appearances:227,at_bats:207,runs:20,hits:43,doubles:13,triples:0,home_runs:8,runs_batted_in:28,stolen_bases:3,caught_stealing:1,walks:11,strikeouts:56,batting_avg:.208,onbase:.253,slugging:.386,ops:erc">.386,ops+:lugging">.640,bases:80,double_plays:4,hit_by_pitch:3,sac_hits:2,sac_flies:4,intentional_walks:0
pos:C,name:Steve Lake,age:30,games:74,plate_appearances:195,at_bats:179,runs:19,hits:45,doubles:7,triples:2,home_runs:2,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:18,batting_avg:.251,onbase:.289,slugging:.346,ops:erc">.346,ops+:lugging">.636,bases:62,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:4
pos:RF,name:John Morris,age:26,games:101,plate_appearances:170,at_bats:157,runs:22,hits:41,doubles:6,triples:4,home_runs:3,runs_batted_in:23,stolen_bases:5,caught_stealing:2,walks:11,strikeouts:22,batting_avg:.261,onbase:.314,slugging:.408,ops:erc">.408,ops+:lugging">.721,bases:64,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:4
pos:1B,name:Dan Driessen,age:35,games:24,plate_appearances:68,at_bats:60,runs:5,hits:14,doubles:2,triples:0,home_runs:1,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:8,batting_avg:.233,onbase:.309,slugging:.317,ops:erc">.317,ops+:lugging">.625,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Lance Johnson,age:23,games:33,plate_appearances:63,at_bats:59,runs:4,hits:13,doubles:2,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:6,caught_stealing:1,walks:4,strikeouts:6,batting_avg:.220,onbase:.270,slugging:.288,ops:erc">.288,ops+:lugging">.558,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Tito Landrum,age:32,games:30,plate_appearances:57,at_bats:50,runs:5,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:7,strikeouts:14,batting_avg:.200,onbase:.298,slugging:.220,ops:erc">.220,ops+:lugging">.518,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:IF,name:Rod Booker,age:28,games:44,plate_appearances:56,at_bats:47,runs:9,hits:13,doubles:1,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:7,strikeouts:7,batting_avg:.277,onbase:.370,slugging:.340,ops:erc">.340,ops+:lugging">.711,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:C,name:Tom Pagnozzi,age:24,games:27,plate_appearances:53,at_bats:48,runs:8,hits:9,doubles:1,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:13,batting_avg:.188,onbase:.250,slugging:.333,ops:erc">.333,ops+:lugging">.583,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:2
pos:1B,name:Mike Laga,age:27,games:17,plate_appearances:33,at_bats:29,runs:4,hits:4,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.138,onbase:.182,slugging:.276,ops:erc">.276,ops+:lugging">.458,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:UT,name:David Green,age:26,games:14,plate_appearances:32,at_bats:30,runs:4,hits:8,doubles:2,triples:1,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:5,batting_avg:.267,onbase:.313,slugging:.500,ops:erc">.500,ops+:lugging">.813,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Tom Lawless,age:30,games:19,plate_appearances:29,at_bats:25,runs:5,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:2,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.080,onbase:.179,slugging:.120,ops:erc">.120,ops+:lugging">.299,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Doug DeCinces,age:36,games:4,plate_appearances:9,at_bats:9,runs:1,hits:2,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.222,onbase:.222,slugging:.444,ops:erc">.444,ops+:lugging">.667,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Skeeter Barnes,age:30,games:4,plate_appearances:4,at_bats:4,runs:1,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:1.000,ops:erc">1.000,ops+:lugging">1.250,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Greg Mathews,age:25,games:32,plate_appearances:78,at_bats:68,runs:5,hits:13,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:21,batting_avg:.191,onbase:.225,slugging:.206,ops:erc">.206,ops+:lugging">.431,bases:14,double_plays:1,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Danny Cox,age:27,games:32,plate_appearances:74,at_bats:69,runs:3,hits:8,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:25,batting_avg:.116,onbase:.129,slugging:.145,ops:erc">.145,ops+:lugging">.273,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Bob Forsch,age:37,games:34,plate_appearances:71,at_bats:57,runs:9,hits:17,doubles:6,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.298,onbase:.333,slugging:.509,ops:erc">.509,ops+:lugging">.842,bases:29,double_plays:1,hit_by_pitch:0,sac_hits:11,sac_flies:0,intentional_walks:0
pos:P,name:Joe Magrane,age:22,games:28,plate_appearances:62,at_bats:52,runs:5,hits:7,doubles:2,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:22,batting_avg:.135,onbase:.196,slugging:.231,ops:erc">.231,ops+:lugging">.427,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:John Tudor,age:33,games:17,plate_appearances:40,at_bats:35,runs:1,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.200,onbase:.243,slugging:.200,ops:erc">.200,ops+:lugging">.443,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Horton,age:27,games:68,plate_appearances:30,at_bats:29,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.172,onbase:.200,slugging:.207,ops:erc">.207,ops+:lugging">.407,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Lee Tunnell,age:26,games:33,plate_appearances:20,at_bats:17,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.235,onbase:.235,slugging:.235,ops:erc">.235,ops+:lugging">.471,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Tim Conroy,age:27,games:10,plate_appearances:17,at_bats:15,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Bill Dawley,age:29,games:60,plate_appearances:15,at_bats:12,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.167,onbase:.286,slugging:.167,ops:erc">.167,ops+:lugging">.452,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Todd Worrell,age:27,games:75,plate_appearances:11,at_bats:10,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.100,onbase:.100,slugging:.100,ops:erc">.100,ops+:lugging">.200,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
