pos:UT,name:Cookie Rojas,age:31,games:23,plate_appearances:51,at_bats:47,runs:2,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.106,onbase:.176,slugging:.106,ops:erc">.106,ops+:lugging">.283,bases:5,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Phil Gagliano,age:28,games:18,plate_appearances:33,at_bats:32,runs:0,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:3,batting_avg:.188,onbase:.212,slugging:.188,ops:erc">.188,ops+:lugging">.400,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Jim Kennedy,age:23,games:12,plate_appearances:24,at_bats:24,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Jose Cruz,age:22,games:6,plate_appearances:22,at_bats:17,runs:2,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:0,batting_avg:.353,onbase:.500,slugging:.412,ops:erc">.412,ops+:lugging">.912,bases:7,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Jerry DaVanon,age:24,games:11,plate_appearances:20,at_bats:18,runs:2,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.111,onbase:.200,slugging:.167,ops:erc">.167,ops+:lugging">.367,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Jim Campbell,age:27,games:13,plate_appearances:13,at_bats:13,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.231,onbase:.231,slugging:.231,ops:erc">.231,ops+:lugging">.462,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Jorge Roque,age:20,games:5,plate_appearances:2,at_bats:1,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.500,slugging:.000,ops:erc">.000,ops+:lugging">.500,bases:0,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Joe Nossek,age:29,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Bart Zeller,age:28,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Gibson,age:34,games:40,plate_appearances:124,at_bats:109,runs:14,hits:33,doubles:3,triples:1,home_runs:2,runs_batted_in:19,stolen_bases:0,caught_stealing:2,walks:8,strikeouts:25,batting_avg:.303,onbase:.347,slugging:.404,ops:erc">.404,ops+:lugging">.751,bases:44,double_plays:4,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:0
