pos:C,name:Ted Simmons,age:24,games:152,plate_appearances:662,at_bats:599,runs:66,hits:163,doubles:33,triples:6,home_runs:20,runs_batted_in:103,stolen_bases:0,caught_stealing:0,walks:47,strikeouts:35,batting_avg:.272,onbase:.327,slugging:.447,ops:erc">.447,ops+:lugging">.774,bases:268,double_plays:22,hit_by_pitch:6,sac_hits:1,sac_flies:9,intentional_walks:8
pos:1B,name:Joe Torre,age:33,games:147,plate_appearances:611,at_bats:529,runs:59,hits:149,doubles:28,triples:1,home_runs:11,runs_batted_in:70,stolen_bases:1,caught_stealing:2,walks:69,strikeouts:88,batting_avg:.282,onbase:.371,slugging:.401,ops:erc">.401,ops+:lugging">.772,bases:212,double_plays:15,hit_by_pitch:8,sac_hits:1,sac_flies:3,intentional_walks:9
pos:2B,name:Ted Sizemore,age:29,games:129,plate_appearances:597,at_bats:504,runs:68,hits:126,doubles:17,triples:0,home_runs:2,runs_batted_in:47,stolen_bases:8,caught_stealing:4,walks:70,strikeouts:37,batting_avg:.250,onbase:.339,slugging:.296,ops:erc">.296,ops+:lugging">.634,bases:149,double_plays:11,hit_by_pitch:0,sac_hits:18,sac_flies:5,intentional_walks:2
pos:SS,name:Mike Tyson,age:24,games:151,plate_appearances:455,at_bats:422,runs:35,hits:94,doubles:14,triples:5,home_runs:1,runs_batted_in:37,stolen_bases:4,caught_stealing:2,walks:22,strikeouts:70,batting_avg:.223,onbase:.264,slugging:.287,ops:erc">.287,ops+:lugging">.551,bases:121,double_plays:15,hit_by_pitch:3,sac_hits:4,sac_flies:4,intentional_walks:9
pos:3B,name:Ken Reitz,age:23,games:154,plate_appearances:612,at_bats:579,runs:48,hits:157,doubles:28,triples:2,home_runs:7,runs_batted_in:54,stolen_bases:0,caught_stealing:0,walks:23,strikeouts:63,batting_avg:.271,onbase:.299,slugging:.363,ops:erc">.363,ops+:lugging">.662,bases:210,double_plays:25,hit_by_pitch:2,sac_hits:3,sac_flies:5,intentional_walks:7
pos:LF,name:Lou Brock,age:35,games:153,plate_appearances:702,at_bats:635,runs:105,hits:194,doubles:25,triples:7,home_runs:3,runs_batted_in:48,stolen_bases:118,caught_stealing:33,walks:61,strikeouts:88,batting_avg:.306,onbase:.368,slugging:.381,ops:erc">.381,ops+:lugging">.749,bases:242,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:16
pos:CF,name:Bake McBride,age:25,games:150,plate_appearances:625,at_bats:559,runs:81,hits:173,doubles:19,triples:5,home_runs:6,runs_batted_in:56,stolen_bases:30,caught_stealing:11,walks:43,strikeouts:57,batting_avg:.309,onbase:.369,slugging:.394,ops:erc">.394,ops+:lugging">.763,bases:220,double_plays:7,hit_by_pitch:13,sac_hits:5,sac_flies:5,intentional_walks:9
pos:RF,name:Reggie Smith,age:29,games:143,plate_appearances:598,at_bats:517,runs:79,hits:160,doubles:26,triples:9,home_runs:23,runs_batted_in:100,stolen_bases:4,caught_stealing:3,walks:71,strikeouts:70,batting_avg:.309,onbase:.389,slugging:.528,ops:erc">.528,ops+:lugging">.917,bases:273,double_plays:16,hit_by_pitch:1,sac_hits:1,sac_flies:8,intentional_walks:10
pos:RF,name:Jose Cruz,age:26,games:107,plate_appearances:182,at_bats:161,runs:24,hits:42,doubles:4,triples:3,home_runs:5,runs_batted_in:20,stolen_bases:4,caught_stealing:2,walks:20,strikeouts:27,batting_avg:.261,onbase:.341,slugging:.416,ops:erc">.416,ops+:lugging">.757,bases:67,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:5
pos:CF,name:Luis Melendez,age:24,games:83,plate_appearances:140,at_bats:124,runs:15,hits:27,doubles:4,triples:3,home_runs:0,runs_batted_in:8,stolen_bases:2,caught_stealing:2,walks:11,strikeouts:9,batting_avg:.218,onbase:.283,slugging:.298,ops:erc">.298,ops+:lugging">.581,bases:37,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:0
pos:C,name:Tim McCarver,age:32,games:74,plate_appearances:136,at_bats:106,runs:13,hits:23,doubles:0,triples:1,home_runs:0,runs_batted_in:11,stolen_bases:0,caught_stealing:1,walks:22,strikeouts:6,batting_avg:.217,onbase:.353,slugging:.236,ops:erc">.236,ops+:lugging">.589,bases:25,double_plays:2,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:0
