pos:C,name:Steve Swisher,age:28,games:18,plate_appearances:25,at_bats:24,runs:2,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.250,onbase:.280,slugging:.292,ops:erc">.292,ops+:lugging">.572,bases:7,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Bernie Carbo,age:32,games:14,plate_appearances:13,at_bats:11,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.182,onbase:.250,slugging:.182,ops:erc">.182,ops+:lugging">.432,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Ty Waller,age:23,games:5,plate_appearances:13,at_bats:12,runs:3,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.083,onbase:.154,slugging:.083,ops:erc">.083,ops+:lugging">.237,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Joe DeSa,age:20,games:7,plate_appearances:11,at_bats:11,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.273,onbase:.273,slugging:.273,ops:erc">.273,ops+:lugging">.545,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jim Lentine,age:25,games:9,plate_appearances:10,at_bats:10,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.100,onbase:.100,slugging:.100,ops:erc">.100,ops+:lugging">.200,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Forsch,age:30,games:32,plate_appearances:89,at_bats:78,runs:11,hits:23,doubles:5,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:18,batting_avg:.295,onbase:.313,slugging:.474,ops:erc">.474,ops+:lugging">.787,bases:37,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Pete Vuckovich,age:27,games:32,plate_appearances:81,at_bats:71,runs:4,hits:13,doubles:6,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:13,batting_avg:.183,onbase:.194,slugging:.268,ops:erc">.268,ops+:lugging">.462,bases:19,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Bob Sykes,age:25,games:27,plate_appearances:45,at_bats:39,runs:2,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.103,onbase:.143,slugging:.103,ops:erc">.103,ops+:lugging">.245,bases:4,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:0
pos:P,name:Jim Kaat,age:41,games:49,plate_appearances:41,at_bats:35,runs:4,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:13,batting_avg:.143,onbase:.189,slugging:.257,ops:erc">.257,ops+:lugging">.446,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Silvio Martinez,age:24,games:25,plate_appearances:40,at_bats:35,runs:3,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.086,onbase:.135,slugging:.086,ops:erc">.086,ops+:lugging">.221,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:John Fulgham,age:24,games:16,plate_appearances:30,at_bats:27,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:17,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
