pos:C,name:Ted Simmons,age:27,games:150,plate_appearances:601,at_bats:516,runs:82,hits:164,doubles:25,triples:3,home_runs:21,runs_batted_in:95,stolen_bases:2,caught_stealing:6,walks:79,strikeouts:37,batting_avg:.318,onbase:.408,slugging:.500,ops:erc">.500,ops+:lugging">.908,bases:258,double_plays:20,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:25
pos:1B,name:Keith Hernandez,age:23,games:161,plate_appearances:645,at_bats:560,runs:90,hits:163,doubles:41,triples:4,home_runs:15,runs_batted_in:91,stolen_bases:7,caught_stealing:7,walks:79,strikeouts:88,batting_avg:.291,onbase:.379,slugging:.459,ops:erc">.459,ops+:lugging">.837,bases:257,double_plays:17,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:11
pos:2B,name:Mike Tyson,age:27,games:138,plate_appearances:457,at_bats:418,runs:42,hits:103,doubles:15,triples:2,home_runs:7,runs_batted_in:57,stolen_bases:3,caught_stealing:4,walks:30,strikeouts:48,batting_avg:.246,onbase:.299,slugging:.342,ops:erc">.342,ops+:lugging">.641,bases:143,double_plays:9,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:11
pos:SS,name:Garry Templeton,age:21,games:153,plate_appearances:644,at_bats:621,runs:94,hits:200,doubles:19,triples:18,home_runs:8,runs_batted_in:79,stolen_bases:28,caught_stealing:24,walks:15,strikeouts:70,batting_avg:.322,onbase:.336,slugging:.449,ops:erc">.449,ops+:lugging">.786,bases:279,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:5,intentional_walks:3
pos:3B,name:Ken Reitz,age:26,games:157,plate_appearances:620,at_bats:587,runs:58,hits:153,doubles:36,triples:1,home_runs:17,runs_batted_in:79,stolen_bases:2,caught_stealing:6,walks:19,strikeouts:74,batting_avg:.261,onbase:.291,slugging:.412,ops:erc">.412,ops+:lugging">.703,bases:242,double_plays:17,hit_by_pitch:7,sac_hits:5,sac_flies:2,intentional_walks:4
pos:LF,name:Lou Brock,age:38,games:141,plate_appearances:521,at_bats:489,runs:69,hits:133,doubles:22,triples:6,home_runs:2,runs_batted_in:46,stolen_bases:35,caught_stealing:24,walks:30,strikeouts:74,batting_avg:.272,onbase:.317,slugging:.354,ops:erc">.354,ops+:lugging">.670,bases:173,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:2
pos:CF,name:Tony Scott,age:25,games:95,plate_appearances:331,at_bats:292,runs:38,hits:85,doubles:16,triples:3,home_runs:3,runs_batted_in:41,stolen_bases:13,caught_stealing:10,walks:33,strikeouts:48,batting_avg:.291,onbase:.368,slugging:.397,ops:erc">.397,ops+:lugging">.765,bases:116,double_plays:5,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:4
pos:RF,name:Hector Cruz,age:24,games:118,plate_appearances:391,at_bats:339,runs:50,hits:80,doubles:19,triples:2,home_runs:6,runs_batted_in:42,stolen_bases:4,caught_stealing:3,walks:46,strikeouts:56,batting_avg:.236,onbase:.326,slugging:.357,ops:erc">.357,ops+:lugging">.683,bases:121,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:1
pos:OF,name:Jerry Mumphrey,age:24,games:145,plate_appearances:512,at_bats:463,runs:73,hits:133,doubles:20,triples:10,home_runs:2,runs_batted_in:38,stolen_bases:22,caught_stealing:15,walks:47,strikeouts:70,batting_avg:.287,onbase:.354,slugging:.387,ops:erc">.387,ops+:lugging">.741,bases:179,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:6
pos:RF,name:Mike Anderson,age:26,games:94,plate_appearances:169,at_bats:154,runs:18,hits:34,doubles:4,triples:1,home_runs:4,runs_batted_in:17,stolen_bases:2,caught_stealing:3,walks:14,strikeouts:31,batting_avg:.221,onbase:.286,slugging:.338,ops:erc">.338,ops+:lugging">.623,bases:52,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:MI,name:Don Kessinger,age:34,games:59,plate_appearances:149,at_bats:134,runs:14,hits:32,doubles:4,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:26,batting_avg:.239,onbase:.309,slugging:.269,ops:erc">.269,ops+:lugging">.577,bases:36,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
