pos:LF,name:Corey Dickerson,age:30,games:44,plate_appearances:142,at_bats:127,runs:20,hits:40,doubles:18,triples:0,home_runs:4,runs_batted_in:25,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:23,batting_avg:.315,onbase:.373,slugging:.551,ops:erc">.551,ops+:lugging">.924,bases:70,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:4
pos:C,name:Francisco Cervelli,age:33,games:34,plate_appearances:123,at_bats:109,runs:11,hits:21,doubles:3,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:31,batting_avg:.193,onbase:.279,slugging:.248,ops:erc">.248,ops+:lugging">.526,bases:27,double_plays:4,hit_by_pitch:4,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:JB Shuck,age:32,games:27,plate_appearances:57,at_bats:47,runs:4,hits:10,doubles:0,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:1,walks:8,strikeouts:10,batting_avg:.213,onbase:.339,slugging:.255,ops:erc">.255,ops+:lugging">.595,bases:12,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Kevin Kramer,age:25,games:22,plate_appearances:50,at_bats:42,runs:5,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:17,batting_avg:.167,onbase:.260,slugging:.190,ops:erc">.190,ops+:lugging">.450,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:UT,name:Jake Elmore,age:32,games:20,plate_appearances:49,at_bats:47,runs:3,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:8,batting_avg:.213,onbase:.245,slugging:.234,ops:erc">.234,ops+:lugging">.479,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jason Martin,age:23,games:20,plate_appearances:40,at_bats:36,runs:5,hits:9,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:4,strikeouts:10,batting_avg:.250,onbase:.325,slugging:.306,ops:erc">.306,ops+:lugging">.631,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Corban Joseph,age:30,games:9,plate_appearances:11,at_bats:11,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.182,onbase:.182,slugging:.273,ops:erc">.273,ops+:lugging">.455,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Steven Baron,age:28,games:7,plate_appearances:10,at_bats:10,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.200,onbase:.200,slugging:.300,ops:erc">.300,ops+:lugging">.500,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joe Musgrove,age:26,games:44,plate_appearances:61,at_bats:51,runs:8,hits:8,doubles:2,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.157,onbase:.189,slugging:.235,ops:erc">.235,ops+:lugging">.424,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Steven Brault,age:27,games:33,plate_appearances:50,at_bats:42,runs:8,hits:14,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.333,onbase:.349,slugging:.429,ops:erc">.429,ops+:lugging">.777,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Trevor Williams,age:27,games:23,plate_appearances:44,at_bats:36,runs:2,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:17,batting_avg:.167,onbase:.211,slugging:.167,ops:erc">.167,ops+:lugging">.377,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Chris Archer,age:30,games:22,plate_appearances:41,at_bats:35,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:19,batting_avg:.114,onbase:.184,slugging:.114,ops:erc">.114,ops+:lugging">.298,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Jordan Lyles,age:28,games:16,plate_appearances:26,at_bats:25,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:16,batting_avg:.080,onbase:.115,slugging:.080,ops:erc">.080,ops+:lugging">.195,bases:2,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dario Agrazal,age:24,games:14,plate_appearances:24,at_bats:22,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.091,onbase:.087,slugging:.091,ops:erc">.091,ops+:lugging">.178,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:P,name:Mitch Keller,age:23,games:10,plate_appearances:11,at_bats:10,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
