pos:UT,name:Matt Alexander,age:32,games:44,plate_appearances:13,at_bats:13,runs:16,hits:7,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:13,caught_stealing:1,walks:0,strikeouts:0,batting_avg:.538,onbase:.538,slugging:.692,ops:erc">.692,ops+:lugging">1.231,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Doe Boyland,age:24,games:4,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Alberto Lois,age:23,games:11,plate_appearances:0,at_bats:0,runs:6,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:1,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Gary Hargis,age:22,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bert Blyleven,age:28,games:38,plate_appearances:85,at_bats:70,runs:1,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:33,batting_avg:.129,onbase:.129,slugging:.143,ops:erc">.143,ops+:lugging">.271,bases:10,double_plays:2,hit_by_pitch:0,sac_hits:15,sac_flies:0,intentional_walks:0
pos:P,name:John Candelaria,age:25,games:33,plate_appearances:77,at_bats:68,runs:0,hits:9,doubles:4,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:18,batting_avg:.132,onbase:.145,slugging:.191,ops:erc">.191,ops+:lugging">.336,bases:13,double_plays:4,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Bruce Kison,age:29,games:37,plate_appearances:63,at_bats:55,runs:6,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:19,batting_avg:.145,onbase:.161,slugging:.236,ops:erc">.236,ops+:lugging">.397,bases:13,double_plays:2,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Don Robinson,age:22,games:29,plate_appearances:56,at_bats:49,runs:4,hits:10,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.204,onbase:.250,slugging:.204,ops:erc">.204,ops+:lugging">.454,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Jim Bibby,age:34,games:34,plate_appearances:52,at_bats:45,runs:3,hits:8,doubles:1,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:25,batting_avg:.178,onbase:.196,slugging:.333,ops:erc">.333,ops+:lugging">.529,bases:15,double_plays:0,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Jim Rooker,age:36,games:19,plate_appearances:36,at_bats:33,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:13,batting_avg:.121,onbase:.147,slugging:.121,ops:erc">.121,ops+:lugging">.268,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Ed Whitson,age:24,games:19,plate_appearances:18,at_bats:13,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.000,onbase:.071,slugging:.000,ops:erc">.000,ops+:lugging">.071,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Kent Tekulve,age:32,games:94,plate_appearances:17,at_bats:15,runs:3,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.133,onbase:.188,slugging:.133,ops:erc">.133,ops+:lugging">.321,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Enrique Romo,age:31,games:84,plate_appearances:16,at_bats:12,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Grant Jackson,age:36,games:72,plate_appearances:9,at_bats:9,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Roberts,age:34,games:21,plate_appearances:6,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:Joe Coleman,age:32,games:10,plate_appearances:5,at_bats:5,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.200,onbase:.200,slugging:.400,ops:erc">.400,ops+:lugging">.600,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rick Rhoden,age:26,games:1,plate_appearances:1,at_bats:1,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:1.000,ops:erc">1.000,ops+:lugging">2.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dock Ellis,age:34,games:3,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
