pos:C,name:Bill Freehan,age:29,games:148,plate_appearances:586,at_bats:516,runs:57,hits:143,doubles:26,triples:4,home_runs:21,runs_batted_in:71,stolen_bases:2,caught_stealing:7,walks:54,strikeouts:48,batting_avg:.277,onbase:.353,slugging:.465,ops:erc">.465,ops+:lugging">.818,bases:240,double_plays:13,hit_by_pitch:9,sac_hits:3,sac_flies:4,intentional_walks:9
pos:1B,name:Norm Cash,age:36,games:135,plate_appearances:523,at_bats:452,runs:72,hits:128,doubles:10,triples:3,home_runs:32,runs_batted_in:91,stolen_bases:1,caught_stealing:0,walks:59,strikeouts:86,batting_avg:.283,onbase:.372,slugging:.531,ops:erc">.531,ops+:lugging">.903,bases:240,double_plays:5,hit_by_pitch:7,sac_hits:1,sac_flies:4,intentional_walks:7
pos:2B,name:Dick McAuliffe,age:31,games:128,plate_appearances:537,at_bats:477,runs:67,hits:99,doubles:16,triples:6,home_runs:18,runs_batted_in:57,stolen_bases:4,caught_stealing:1,walks:53,strikeouts:67,batting_avg:.208,onbase:.293,slugging:.379,ops:erc">.379,ops+:lugging">.672,bases:181,double_plays:8,hit_by_pitch:5,sac_hits:1,sac_flies:1,intentional_walks:4
pos:SS,name:Ed Brinkman,age:29,games:159,plate_appearances:589,at_bats:527,runs:40,hits:120,doubles:18,triples:2,home_runs:1,runs_batted_in:37,stolen_bases:1,caught_stealing:4,walks:44,strikeouts:54,batting_avg:.228,onbase:.293,slugging:.275,ops:erc">.275,ops+:lugging">.568,bases:145,double_plays:14,hit_by_pitch:7,sac_hits:6,sac_flies:5,intentional_walks:7
pos:3B,name:Aurelio Rodriguez,age:23,games:154,plate_appearances:639,at_bats:604,runs:68,hits:153,doubles:30,triples:7,home_runs:15,runs_batted_in:39,stolen_bases:4,caught_stealing:6,walks:27,strikeouts:93,batting_avg:.253,onbase:.288,slugging:.401,ops:erc">.401,ops+:lugging">.688,bases:242,double_plays:14,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:6
pos:LF,name:Willie Horton,age:28,games:119,plate_appearances:498,at_bats:450,runs:64,hits:130,doubles:25,triples:1,home_runs:22,runs_batted_in:72,stolen_bases:1,caught_stealing:5,walks:37,strikeouts:75,batting_avg:.289,onbase:.349,slugging:.496,ops:erc">.496,ops+:lugging">.845,bases:223,double_plays:15,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:8
pos:CF,name:Mickey Stanley,age:28,games:139,plate_appearances:432,at_bats:401,runs:43,hits:117,doubles:14,triples:5,home_runs:7,runs_batted_in:41,stolen_bases:1,caught_stealing:3,walks:24,strikeouts:44,batting_avg:.292,onbase:.329,slugging:.404,ops:erc">.404,ops+:lugging">.733,bases:162,double_plays:7,hit_by_pitch:0,sac_hits:3,sac_flies:4,intentional_walks:5
pos:RF,name:Al Kaline,age:36,games:133,plate_appearances:501,at_bats:405,runs:69,hits:119,doubles:19,triples:2,home_runs:15,runs_batted_in:54,stolen_bases:4,caught_stealing:6,walks:82,strikeouts:57,batting_avg:.294,onbase:.416,slugging:.462,ops:erc">.462,ops+:lugging">.878,bases:187,double_plays:12,hit_by_pitch:7,sac_hits:1,sac_flies:6,intentional_walks:9
pos:UT,name:Jim Northrup,age:31,games:136,plate_appearances:524,at_bats:459,runs:72,hits:124,doubles:27,triples:2,home_runs:16,runs_batted_in:71,stolen_bases:7,caught_stealing:4,walks:60,strikeouts:43,batting_avg:.270,onbase:.355,slugging:.442,ops:erc">.442,ops+:lugging">.797,bases:203,double_plays:14,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:9
pos:LF,name:Gates Brown,age:32,games:82,plate_appearances:218,at_bats:195,runs:37,hits:66,doubles:2,triples:3,home_runs:11,runs_batted_in:29,stolen_bases:4,caught_stealing:2,walks:21,strikeouts:17,batting_avg:.338,onbase:.408,slugging:.549,ops:erc">.549,ops+:lugging">.957,bases:107,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:2
pos:2B,name:Tony Taylor,age:35,games:55,plate_appearances:196,at_bats:181,runs:27,hits:52,doubles:10,triples:2,home_runs:3,runs_batted_in:19,stolen_bases:5,caught_stealing:1,walks:12,strikeouts:11,batting_avg:.287,onbase:.335,slugging:.414,ops:erc">.414,ops+:lugging">.749,bases:75,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
