pos:C,name:Chris Hoiles,age:26,games:107,plate_appearances:372,at_bats:341,runs:36,hits:83,doubles:15,triples:0,home_runs:11,runs_batted_in:31,stolen_bases:0,caught_stealing:2,walks:29,strikeouts:61,batting_avg:.243,onbase:.304,slugging:.384,ops:erc">.384,ops+:lugging">.688,bases:131,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:1B,name:Randy Milligan,age:29,games:141,plate_appearances:571,at_bats:483,runs:57,hits:127,doubles:17,triples:2,home_runs:16,runs_batted_in:70,stolen_bases:0,caught_stealing:5,walks:84,strikeouts:108,batting_avg:.263,onbase:.373,slugging:.406,ops:erc">.406,ops+:lugging">.779,bases:196,double_plays:23,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:4
pos:2B,name:Billy Ripken,age:26,games:104,plate_appearances:315,at_bats:287,runs:24,hits:62,doubles:11,triples:1,home_runs:0,runs_batted_in:14,stolen_bases:0,caught_stealing:1,walks:15,strikeouts:31,batting_avg:.216,onbase:.253,slugging:.261,ops:erc">.261,ops+:lugging">.515,bases:75,double_plays:14,hit_by_pitch:0,sac_hits:11,sac_flies:2,intentional_walks:0
pos:SS,name:Cal Ripken Jr.,age:30,games:162,plate_appearances:717,at_bats:650,runs:99,hits:210,doubles:46,triples:5,home_runs:34,runs_batted_in:114,stolen_bases:6,caught_stealing:1,walks:53,strikeouts:46,batting_avg:.323,onbase:.374,slugging:.566,ops:erc">.566,ops+:lugging">.940,bases:368,double_plays:19,hit_by_pitch:5,sac_hits:0,sac_flies:9,intentional_walks:15
pos:3B,name:Leo Gomez,age:25,games:118,plate_appearances:445,at_bats:391,runs:40,hits:91,doubles:17,triples:2,home_runs:16,runs_batted_in:45,stolen_bases:1,caught_stealing:1,walks:40,strikeouts:82,batting_avg:.233,onbase:.302,slugging:.409,ops:erc">.409,ops+:lugging">.711,bases:160,double_plays:11,hit_by_pitch:2,sac_hits:5,sac_flies:7,intentional_walks:0
pos:LF,name:Joe Orsulak,age:29,games:143,plate_appearances:521,at_bats:486,runs:57,hits:135,doubles:22,triples:1,home_runs:5,runs_batted_in:43,stolen_bases:6,caught_stealing:2,walks:28,strikeouts:45,batting_avg:.278,onbase:.321,slugging:.358,ops:erc">.358,ops+:lugging">.679,bases:174,double_plays:9,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:1
pos:CF,name:Mike Devereaux,age:28,games:149,plate_appearances:668,at_bats:608,runs:82,hits:158,doubles:27,triples:10,home_runs:19,runs_batted_in:59,stolen_bases:16,caught_stealing:9,walks:47,strikeouts:115,batting_avg:.260,onbase:.313,slugging:.431,ops:erc">.431,ops+:lugging">.744,bases:262,double_plays:13,hit_by_pitch:2,sac_hits:7,sac_flies:4,intentional_walks:2
pos:RF,name:Dwight Evans,age:39,games:101,plate_appearances:329,at_bats:270,runs:35,hits:73,doubles:9,triples:1,home_runs:6,runs_batted_in:38,stolen_bases:2,caught_stealing:3,walks:54,strikeouts:54,batting_avg:.270,onbase:.393,slugging:.378,ops:erc">.378,ops+:lugging">.771,bases:102,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:2
pos:DH,name:Sam Horn,age:27,games:121,plate_appearances:362,at_bats:317,runs:45,hits:74,doubles:16,triples:0,home_runs:23,runs_batted_in:61,stolen_bases:0,caught_stealing:0,walks:41,strikeouts:99,batting_avg:.233,onbase:.326,slugging:.502,ops:erc">.502,ops+:lugging">.828,bases:159,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:4
pos:OF,name:Brady Anderson,age:27,games:113,plate_appearances:313,at_bats:256,runs:40,hits:59,doubles:12,triples:3,home_runs:2,runs_batted_in:27,stolen_bases:12,caught_stealing:5,walks:38,strikeouts:44,batting_avg:.230,onbase:.338,slugging:.324,ops:erc">.324,ops+:lugging">.662,bases:83,double_plays:1,hit_by_pitch:5,sac_hits:11,sac_flies:3,intentional_walks:0
pos:C,name:Bob Melvin,age:29,games:79,plate_appearances:245,at_bats:228,runs:11,hits:57,doubles:10,triples:0,home_runs:1,runs_batted_in:23,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:46,batting_avg:.250,onbase:.279,slugging:.307,ops:erc">.307,ops+:lugging">.586,bases:70,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:5,intentional_walks:2
pos:RF,name:Chito Martinez,age:25,games:67,plate_appearances:228,at_bats:216,runs:32,hits:58,doubles:12,triples:1,home_runs:13,runs_batted_in:33,stolen_bases:1,caught_stealing:1,walks:11,strikeouts:51,batting_avg:.269,onbase:.303,slugging:.514,ops:erc">.514,ops+:lugging">.817,bases:111,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:David Segui,age:24,games:86,plate_appearances:228,at_bats:212,runs:15,hits:59,doubles:7,triples:0,home_runs:2,runs_batted_in:22,stolen_bases:1,caught_stealing:1,walks:12,strikeouts:19,batting_avg:.278,onbase:.316,slugging:.340,ops:erc">.340,ops+:lugging">.655,bases:72,double_plays:7,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:2
pos:2B,name:Juan Bell,age:23,games:100,plate_appearances:223,at_bats:209,runs:26,hits:36,doubles:9,triples:2,home_runs:1,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:51,batting_avg:.172,onbase:.201,slugging:.249,ops:erc">.249,ops+:lugging">.450,bases:52,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:0
pos:3B,name:Tim Hulett,age:31,games:79,plate_appearances:221,at_bats:206,runs:29,hits:42,doubles:9,triples:0,home_runs:7,runs_batted_in:18,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:49,batting_avg:.204,onbase:.255,slugging:.350,ops:erc">.350,ops+:lugging">.604,bases:72,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Glenn Davis,age:30,games:49,plate_appearances:199,at_bats:176,runs:29,hits:40,doubles:9,triples:1,home_runs:10,runs_batted_in:28,stolen_bases:4,caught_stealing:0,walks:16,strikeouts:29,batting_avg:.227,onbase:.307,slugging:.460,ops:erc">.460,ops+:lugging">.767,bases:81,double_plays:2,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Craig Worthington,age:26,games:31,plate_appearances:116,at_bats:102,runs:11,hits:23,doubles:3,triples:0,home_runs:4,runs_batted_in:12,stolen_bases:0,caught_stealing:1,walks:12,strikeouts:14,batting_avg:.225,onbase:.313,slugging:.373,ops:erc">.373,ops+:lugging">.686,bases:38,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Ernie Whitt,age:39,games:35,plate_appearances:70,at_bats:62,runs:5,hits:15,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:12,batting_avg:.242,onbase:.329,slugging:.274,ops:erc">.274,ops+:lugging">.603,bases:17,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Luis Mercedes,age:23,games:19,plate_appearances:59,at_bats:54,runs:10,hits:11,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.204,onbase:.259,slugging:.241,ops:erc">.241,ops+:lugging">.499,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Jeff McKnight,age:28,games:16,plate_appearances:43,at_bats:41,runs:2,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.171,onbase:.209,slugging:.195,ops:erc">.195,ops+:lugging">.404,bases:8,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Jeff Tackett,age:25,games:6,plate_appearances:11,at_bats:8,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.125,onbase:.300,slugging:.125,ops:erc">.125,ops+:lugging">.425,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Shane Turner,age:28,games:4,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Milacki,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Stacy Jones,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ben McDonald,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Flanagan,age:39,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Francisco de la Rosa,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
