pos:C,name:Rick Dempsey,age:34,games:109,plate_appearances:380,at_bats:330,runs:37,hits:76,doubles:11,triples:0,home_runs:11,runs_batted_in:34,stolen_bases:1,caught_stealing:2,walks:40,strikeouts:58,batting_avg:.230,onbase:.312,slugging:.364,ops:erc">.364,ops+:lugging">.676,bases:120,double_plays:11,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:0
pos:1B,name:Eddie Murray,age:28,games:162,plate_appearances:705,at_bats:588,runs:97,hits:180,doubles:26,triples:3,home_runs:29,runs_batted_in:110,stolen_bases:10,caught_stealing:2,walks:107,strikeouts:87,batting_avg:.306,onbase:.410,slugging:.509,ops:erc">.509,ops+:lugging">.918,bases:299,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:8,intentional_walks:25
pos:2B,name:Rich Dauer,age:31,games:127,plate_appearances:426,at_bats:397,runs:29,hits:101,doubles:26,triples:0,home_runs:2,runs_batted_in:24,stolen_bases:1,caught_stealing:3,walks:24,strikeouts:23,batting_avg:.254,onbase:.296,slugging:.335,ops:erc">.335,ops+:lugging">.631,bases:133,double_plays:15,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:1
pos:SS,name:Cal Ripken Jr.,age:23,games:162,plate_appearances:716,at_bats:641,runs:103,hits:195,doubles:37,triples:7,home_runs:27,runs_batted_in:86,stolen_bases:2,caught_stealing:1,walks:71,strikeouts:89,batting_avg:.304,onbase:.374,slugging:.510,ops:erc">.510,ops+:lugging">.884,bases:327,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:1
pos:3B,name:Wayne Gross,age:32,games:127,plate_appearances:414,at_bats:342,runs:53,hits:74,doubles:9,triples:1,home_runs:22,runs_batted_in:64,stolen_bases:1,caught_stealing:2,walks:68,strikeouts:69,batting_avg:.216,onbase:.346,slugging:.442,ops:erc">.442,ops+:lugging">.788,bases:151,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:4
pos:LF,name:Gary Roenicke,age:29,games:121,plate_appearances:393,at_bats:326,runs:36,hits:73,doubles:19,triples:1,home_runs:10,runs_batted_in:44,stolen_bases:1,caught_stealing:2,walks:58,strikeouts:43,batting_avg:.224,onbase:.346,slugging:.380,ops:erc">.380,ops+:lugging">.727,bases:124,double_plays:10,hit_by_pitch:4,sac_hits:3,sac_flies:2,intentional_walks:1
pos:CF,name:John Shelby,age:26,games:128,plate_appearances:415,at_bats:383,runs:44,hits:80,doubles:12,triples:5,home_runs:6,runs_batted_in:30,stolen_bases:12,caught_stealing:4,walks:20,strikeouts:71,batting_avg:.209,onbase:.248,slugging:.313,ops:erc">.313,ops+:lugging">.561,bases:120,double_plays:4,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:RF,name:Mike Young,age:24,games:123,plate_appearances:470,at_bats:401,runs:59,hits:101,doubles:17,triples:2,home_runs:17,runs_batted_in:52,stolen_bases:6,caught_stealing:2,walks:58,strikeouts:110,batting_avg:.252,onbase:.355,slugging:.431,ops:erc">.431,ops+:lugging">.786,bases:173,double_plays:5,hit_by_pitch:7,sac_hits:2,sac_flies:2,intentional_walks:2
pos:DH,name:Ken Singleton,age:37,games:111,plate_appearances:404,at_bats:363,runs:28,hits:78,doubles:7,triples:1,home_runs:6,runs_batted_in:36,stolen_bases:0,caught_stealing:0,walks:37,strikeouts:60,batting_avg:.215,onbase:.286,slugging:.289,ops:erc">.289,ops+:lugging">.575,bases:105,double_plays:20,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:5
pos:CF,name:Al Bumbry,age:37,games:119,plate_appearances:374,at_bats:344,runs:47,hits:93,doubles:12,triples:1,home_runs:3,runs_batted_in:24,stolen_bases:9,caught_stealing:5,walks:25,strikeouts:35,batting_avg:.270,onbase:.317,slugging:.337,ops:erc">.337,ops+:lugging">.654,bases:116,double_plays:11,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:0
pos:LF,name:John Lowenstein,age:37,games:105,plate_appearances:307,at_bats:270,runs:34,hits:64,doubles:13,triples:0,home_runs:8,runs_batted_in:28,stolen_bases:1,caught_stealing:0,walks:33,strikeouts:54,batting_avg:.237,onbase:.319,slugging:.374,ops:erc">.374,ops+:lugging">.693,bases:101,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:3
pos:C,name:Floyd Rayford,age:26,games:86,plate_appearances:269,at_bats:250,runs:24,hits:64,doubles:14,triples:0,home_runs:4,runs_batted_in:27,stolen_bases:0,caught_stealing:3,walks:12,strikeouts:51,batting_avg:.256,onbase:.296,slugging:.360,ops:erc">.360,ops+:lugging">.656,bases:90,double_plays:5,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:0
pos:RF,name:Jim Dwyer,age:34,games:76,plate_appearances:195,at_bats:161,runs:22,hits:41,doubles:9,triples:1,home_runs:2,runs_batted_in:21,stolen_bases:0,caught_stealing:2,walks:23,strikeouts:24,batting_avg:.255,onbase:.337,slugging:.360,ops:erc">.360,ops+:lugging">.697,bases:58,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:6,intentional_walks:0
pos:2B,name:Lenn Sakata,age:30,games:81,plate_appearances:168,at_bats:157,runs:23,hits:30,doubles:1,triples:0,home_runs:3,runs_batted_in:11,stolen_bases:4,caught_stealing:1,walks:6,strikeouts:15,batting_avg:.191,onbase:.221,slugging:.255,ops:erc">.255,ops+:lugging">.476,bases:40,double_plays:4,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:2
pos:3B,name:Todd Cruz,age:28,games:95,plate_appearances:154,at_bats:142,runs:15,hits:31,doubles:4,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:1,caught_stealing:4,walks:8,strikeouts:33,batting_avg:.218,onbase:.263,slugging:.310,ops:erc">.310,ops+:lugging">.573,bases:44,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:DH,name:Benny Ayala,age:33,games:60,plate_appearances:128,at_bats:118,runs:9,hits:25,doubles:6,triples:0,home_runs:4,runs_batted_in:24,stolen_bases:1,caught_stealing:1,walks:8,strikeouts:24,batting_avg:.212,onbase:.258,slugging:.364,ops:erc">.364,ops+:lugging">.622,bases:43,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:RF,name:Dan Ford,age:32,games:25,plate_appearances:100,at_bats:91,runs:7,hits:21,doubles:4,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:13,batting_avg:.231,onbase:.286,slugging:.308,ops:erc">.308,ops+:lugging">.593,bases:28,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
