pos:3B,name:Ron Washington,age:35,games:26,plate_appearances:81,at_bats:79,runs:7,hits:16,doubles:3,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:15,batting_avg:.203,onbase:.213,slugging:.304,ops:erc">.304,ops+:lugging">.516,bases:24,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Rene Gonzales,age:26,games:37,plate_appearances:65,at_bats:60,runs:14,hits:16,doubles:2,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:11,batting_avg:.267,onbase:.302,slugging:.383,ops:erc">.383,ops+:lugging">.685,bases:23,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:RF,name:Nelson Simmons,age:24,games:16,plate_appearances:54,at_bats:49,runs:3,hits:13,doubles:1,triples:1,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:8,batting_avg:.265,onbase:.296,slugging:.388,ops:erc">.388,ops+:lugging">.684,bases:19,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:C,name:Floyd Rayford,age:29,games:20,plate_appearances:52,at_bats:50,runs:5,hits:11,doubles:0,triples:0,home_runs:2,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.220,onbase:.250,slugging:.340,ops:erc">.340,ops+:lugging">.590,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:John Shelby,age:29,games:21,plate_appearances:34,at_bats:32,runs:4,hits:6,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:13,batting_avg:.188,onbase:.212,slugging:.281,ops:erc">.281,ops+:lugging">.493,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Dave Van Gorder,age:30,games:12,plate_appearances:24,at_bats:21,runs:4,hits:5,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:6,batting_avg:.238,onbase:.333,slugging:.381,ops:erc">.381,ops+:lugging">.714,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Carl Nichols,age:24,games:13,plate_appearances:23,at_bats:21,runs:4,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.381,onbase:.409,slugging:.429,ops:erc">.429,ops+:lugging">.838,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Jackie Gutierrez,age:27,games:3,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott McGregor,age:33,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Don Aase,age:32,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
