pos:C,name:Matt Wieters,age:25,games:139,plate_appearances:551,at_bats:500,runs:72,hits:131,doubles:28,triples:0,home_runs:22,runs_batted_in:68,stolen_bases:1,caught_stealing:0,walks:48,strikeouts:84,batting_avg:.262,onbase:.328,slugging:.450,ops:erc">.450,ops+:lugging">.778,bases:225,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:3
pos:1B,name:Derrek Lee,age:35,games:85,plate_appearances:364,at_bats:334,runs:39,hits:82,doubles:15,triples:1,home_runs:12,runs_batted_in:41,stolen_bases:2,caught_stealing:1,walks:25,strikeouts:83,batting_avg:.246,onbase:.302,slugging:.404,ops:erc">.404,ops+:lugging">.706,bases:135,double_plays:13,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:2
pos:2B,name:Robert Andino,age:27,games:139,plate_appearances:511,at_bats:457,runs:63,hits:120,doubles:22,triples:0,home_runs:5,runs_batted_in:36,stolen_bases:13,caught_stealing:3,walks:41,strikeouts:83,batting_avg:.263,onbase:.327,slugging:.344,ops:erc">.344,ops+:lugging">.670,bases:157,double_plays:14,hit_by_pitch:3,sac_hits:9,sac_flies:1,intentional_walks:0
pos:SS,name:J.J. Hardy,age:28,games:129,plate_appearances:567,at_bats:527,runs:76,hits:142,doubles:27,triples:0,home_runs:30,runs_batted_in:80,stolen_bases:0,caught_stealing:0,walks:31,strikeouts:92,batting_avg:.269,onbase:.310,slugging:.491,ops:erc">.491,ops+:lugging">.801,bases:259,double_plays:10,hit_by_pitch:2,sac_hits:2,sac_flies:5,intentional_walks:3
pos:3B,name:Mark Reynolds,age:27,games:155,plate_appearances:620,at_bats:534,runs:84,hits:118,doubles:27,triples:1,home_runs:37,runs_batted_in:86,stolen_bases:6,caught_stealing:4,walks:75,strikeouts:196,batting_avg:.221,onbase:.323,slugging:.483,ops:erc">.483,ops+:lugging">.806,bases:258,double_plays:11,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:2
pos:LF,name:Nolan Reimold,age:27,games:87,plate_appearances:305,at_bats:267,runs:40,hits:66,doubles:10,triples:3,home_runs:13,runs_batted_in:45,stolen_bases:7,caught_stealing:2,walks:28,strikeouts:57,batting_avg:.247,onbase:.328,slugging:.453,ops:erc">.453,ops+:lugging">.781,bases:121,double_plays:4,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:1
pos:CF,name:Adam Jones,age:25,games:151,plate_appearances:618,at_bats:567,runs:68,hits:159,doubles:26,triples:2,home_runs:25,runs_batted_in:83,stolen_bases:12,caught_stealing:4,walks:29,strikeouts:113,batting_avg:.280,onbase:.319,slugging:.466,ops:erc">.466,ops+:lugging">.785,bases:264,double_plays:16,hit_by_pitch:9,sac_hits:1,sac_flies:12,intentional_walks:2
pos:RF,name:Nick Markakis,age:27,games:160,plate_appearances:716,at_bats:641,runs:72,hits:182,doubles:31,triples:1,home_runs:15,runs_batted_in:73,stolen_bases:12,caught_stealing:3,walks:62,strikeouts:75,batting_avg:.284,onbase:.351,slugging:.406,ops:erc">.406,ops+:lugging">.756,bases:260,double_plays:16,hit_by_pitch:7,sac_hits:0,sac_flies:6,intentional_walks:6
pos:DH,name:Vladimir Guerrero,age:36,games:145,plate_appearances:590,at_bats:562,runs:60,hits:163,doubles:30,triples:1,home_runs:13,runs_batted_in:63,stolen_bases:2,caught_stealing:2,walks:17,strikeouts:56,batting_avg:.290,onbase:.317,slugging:.416,ops:erc">.416,ops+:lugging">.733,bases:234,double_plays:23,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:3
pos:LF,name:Luke Scott,age:33,games:64,plate_appearances:236,at_bats:209,runs:24,hits:46,doubles:11,triples:0,home_runs:9,runs_batted_in:22,stolen_bases:1,caught_stealing:1,walks:24,strikeouts:54,batting_avg:.220,onbase:.301,slugging:.402,ops:erc">.402,ops+:lugging">.703,bases:84,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:2B,name:Brian Roberts,age:33,games:39,plate_appearances:178,at_bats:163,runs:18,hits:36,doubles:7,triples:1,home_runs:3,runs_batted_in:19,stolen_bases:6,caught_stealing:1,walks:12,strikeouts:21,batting_avg:.221,onbase:.273,slugging:.331,ops:erc">.331,ops+:lugging">.604,bases:54,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:LF,name:Felix Pie,age:26,games:85,plate_appearances:175,at_bats:164,runs:15,hits:36,doubles:8,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:3,caught_stealing:2,walks:10,strikeouts:32,batting_avg:.220,onbase:.264,slugging:.280,ops:erc">.280,ops+:lugging">.545,bases:46,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:CI,name:Chris Davis,age:25,games:31,plate_appearances:129,at_bats:123,runs:16,hits:34,doubles:9,triples:0,home_runs:2,runs_batted_in:13,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:39,batting_avg:.276,onbase:.310,slugging:.398,ops:erc">.398,ops+:lugging">.708,bases:49,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:2B,name:Ryan Adams,age:24,games:29,plate_appearances:96,at_bats:89,runs:9,hits:25,doubles:4,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:25,batting_avg:.281,onbase:.333,slugging:.326,ops:erc">.326,ops+:lugging">.659,bases:29,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Craig Tatum,age:28,games:31,plate_appearances:96,at_bats:87,runs:7,hits:17,doubles:3,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:21,batting_avg:.195,onbase:.245,slugging:.230,ops:erc">.230,ops+:lugging">.475,bases:20,double_plays:7,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:OF,name:Matt Angle,age:25,games:31,plate_appearances:95,at_bats:79,runs:12,hits:14,doubles:4,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:11,caught_stealing:1,walks:12,strikeouts:13,batting_avg:.177,onbase:.293,slugging:.266,ops:erc">.266,ops+:lugging">.559,bases:21,double_plays:0,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:UT,name:Jake Fox,age:28,games:27,plate_appearances:67,at_bats:61,runs:8,hits:15,doubles:4,triples:1,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:8,batting_avg:.246,onbase:.313,slugging:.443,ops:erc">.443,ops+:lugging">.756,bases:27,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Blake Davis,age:27,games:25,plate_appearances:65,at_bats:59,runs:6,hits:15,doubles:3,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:6,strikeouts:13,batting_avg:.254,onbase:.323,slugging:.390,ops:erc">.390,ops+:lugging">.713,bases:23,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Josh Bell,age:24,games:26,plate_appearances:65,at_bats:61,runs:6,hits:10,doubles:0,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:25,batting_avg:.164,onbase:.215,slugging:.164,ops:erc">.164,ops+:lugging">.379,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Cesar Izturis,age:31,games:18,plate_appearances:33,at_bats:30,runs:4,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:10,batting_avg:.200,onbase:.250,slugging:.200,ops:erc">.200,ops+:lugging">.450,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Kyle Hudson,age:24,games:14,plate_appearances:29,at_bats:28,runs:3,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Brandon Snyder,age:24,games:6,plate_appearances:17,at_bats:13,runs:2,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.231,onbase:.412,slugging:.308,ops:erc">.308,ops+:lugging">.719,bases:4,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Pedro Florimon,age:24,games:4,plate_appearances:10,at_bats:8,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.125,onbase:.222,slugging:.250,ops:erc">.250,ops+:lugging">.472,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
