pos:DH,name:Keith Moreland,age:35,games:33,plate_appearances:111,at_bats:107,runs:11,hits:23,doubles:4,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:12,batting_avg:.215,onbase:.243,slugging:.280,ops:erc">.280,ops+:lugging">.524,bases:30,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Tim Hulett,age:29,games:33,plate_appearances:109,at_bats:97,runs:12,hits:27,doubles:5,triples:0,home_runs:3,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:17,batting_avg:.278,onbase:.343,slugging:.423,ops:erc">.423,ops+:lugging">.765,bases:41,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Jamie Quirk,age:34,games:25,plate_appearances:62,at_bats:51,runs:5,hits:11,doubles:2,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:9,strikeouts:11,batting_avg:.216,onbase:.328,slugging:.255,ops:erc">.255,ops+:lugging">.583,bases:13,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:1B,name:Francisco Melendez,age:25,games:9,plate_appearances:13,at_bats:11,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.273,onbase:.308,slugging:.273,ops:erc">.273,ops+:lugging">.580,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:DH,name:Chris Hoiles,age:24,games:6,plate_appearances:10,at_bats:9,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.111,onbase:.200,slugging:.222,ops:erc">.222,ops+:lugging">.422,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Butch Davis,age:31,games:5,plate_appearances:6,at_bats:6,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.167,onbase:.167,slugging:.333,ops:erc">.333,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Juan Bell,age:21,games:8,plate_appearances:4,at_bats:4,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Rick Schu,age:27,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Milacki,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ben McDonald,age:21,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
