pos:C,name:Rick Dempsey,age:28,games:136,plate_appearances:498,at_bats:441,runs:41,hits:114,doubles:25,triples:0,home_runs:6,runs_batted_in:32,stolen_bases:7,caught_stealing:3,walks:48,strikeouts:54,batting_avg:.259,onbase:.327,slugging:.356,ops:erc">.356,ops+:lugging">.683,bases:157,double_plays:11,hit_by_pitch:0,sac_hits:3,sac_flies:6,intentional_walks:2
pos:1B,name:Eddie Murray,age:22,games:161,plate_appearances:690,at_bats:610,runs:85,hits:174,doubles:32,triples:3,home_runs:27,runs_batted_in:95,stolen_bases:6,caught_stealing:5,walks:70,strikeouts:97,batting_avg:.285,onbase:.356,slugging:.480,ops:erc">.480,ops+:lugging">.836,bases:293,double_plays:15,hit_by_pitch:1,sac_hits:1,sac_flies:8,intentional_walks:7
pos:2B,name:Rich Dauer,age:25,games:133,plate_appearances:491,at_bats:459,runs:57,hits:121,doubles:23,triples:0,home_runs:6,runs_batted_in:46,stolen_bases:0,caught_stealing:4,walks:26,strikeouts:22,batting_avg:.264,onbase:.301,slugging:.353,ops:erc">.353,ops+:lugging">.654,bases:162,double_plays:16,hit_by_pitch:0,sac_hits:3,sac_flies:3,intentional_walks:0
pos:SS,name:Mark Belanger,age:34,games:135,plate_appearances:408,at_bats:348,runs:39,hits:74,doubles:13,triples:0,home_runs:0,runs_batted_in:16,stolen_bases:6,caught_stealing:6,walks:40,strikeouts:55,batting_avg:.213,onbase:.299,slugging:.250,ops:erc">.250,ops+:lugging">.549,bases:87,double_plays:4,hit_by_pitch:6,sac_hits:7,sac_flies:7,intentional_walks:1
pos:3B,name:Doug DeCinces,age:27,games:142,plate_appearances:561,at_bats:511,runs:72,hits:146,doubles:37,triples:1,home_runs:28,runs_batted_in:80,stolen_bases:7,caught_stealing:7,walks:46,strikeouts:81,batting_avg:.286,onbase:.346,slugging:.526,ops:erc">.526,ops+:lugging">.872,bases:269,double_plays:12,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:LF,name:Pat Kelly,age:33,games:100,plate_appearances:315,at_bats:274,runs:38,hits:75,doubles:12,triples:1,home_runs:11,runs_batted_in:40,stolen_bases:10,caught_stealing:8,walks:34,strikeouts:58,batting_avg:.274,onbase:.357,slugging:.445,ops:erc">.445,ops+:lugging">.802,bases:122,double_plays:9,hit_by_pitch:2,sac_hits:4,sac_flies:1,intentional_walks:1
pos:CF,name:Larry Harlow,age:26,games:146,plate_appearances:521,at_bats:460,runs:67,hits:112,doubles:25,triples:1,home_runs:8,runs_batted_in:26,stolen_bases:14,caught_stealing:11,walks:55,strikeouts:72,batting_avg:.243,onbase:.324,slugging:.354,ops:erc">.354,ops+:lugging">.679,bases:163,double_plays:9,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:3
pos:RF,name:Ken Singleton,age:31,games:149,plate_appearances:608,at_bats:502,runs:67,hits:147,doubles:21,triples:2,home_runs:20,runs_batted_in:81,stolen_bases:0,caught_stealing:0,walks:98,strikeouts:94,batting_avg:.293,onbase:.409,slugging:.462,ops:erc">.462,ops+:lugging">.871,bases:232,double_plays:14,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:5
pos:DH,name:Lee May,age:35,games:148,plate_appearances:590,at_bats:556,runs:56,hits:137,doubles:16,triples:1,home_runs:25,runs_batted_in:80,stolen_bases:5,caught_stealing:2,walks:31,strikeouts:110,batting_avg:.246,onbase:.286,slugging:.414,ops:erc">.414,ops+:lugging">.700,bases:230,double_plays:18,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:5
pos:2B,name:Billy Smith,age:24,games:85,plate_appearances:283,at_bats:250,runs:29,hits:65,doubles:12,triples:2,home_runs:5,runs_batted_in:30,stolen_bases:3,caught_stealing:0,walks:27,strikeouts:40,batting_avg:.260,onbase:.333,slugging:.384,ops:erc">.384,ops+:lugging">.717,bases:96,double_plays:2,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:3
pos:LF,name:Andres Mora,age:23,games:76,plate_appearances:246,at_bats:229,runs:21,hits:49,doubles:8,triples:0,home_runs:8,runs_batted_in:14,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:47,batting_avg:.214,onbase:.258,slugging:.354,ops:erc">.354,ops+:lugging">.612,bases:81,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
