pos:OF,name:Blake Swihart,age:27,games:31,plate_appearances:70,at_bats:66,runs:9,hits:9,doubles:0,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:29,batting_avg:.136,onbase:.186,slugging:.273,ops:erc">.273,ops+:lugging">.458,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:John Ryan Murphy,age:28,games:25,plate_appearances:69,at_bats:62,runs:9,hits:11,doubles:3,triples:0,home_runs:4,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:28,batting_avg:.177,onbase:.250,slugging:.419,ops:erc">.419,ops+:lugging">.669,bases:26,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Caleb Joseph,age:33,games:20,plate_appearances:41,at_bats:38,runs:5,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.211,onbase:.250,slugging:.263,ops:erc">.263,ops+:lugging">.513,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Abraham Almonte,age:30,games:17,plate_appearances:38,at_bats:31,runs:11,hits:9,doubles:3,triples:1,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:8,batting_avg:.290,onbase:.421,slugging:.548,ops:erc">.548,ops+:lugging">.969,bases:17,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Domingo Leyba,age:23,games:21,plate_appearances:30,at_bats:25,runs:6,hits:7,doubles:2,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.280,onbase:.367,slugging:.440,ops:erc">.440,ops+:lugging">.807,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:DH,name:Yasmany Tomas,age:28,games:4,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Robbie Ray,age:27,games:31,plate_appearances:60,at_bats:55,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:28,batting_avg:.073,onbase:.073,slugging:.073,ops:erc">.073,ops+:lugging">.145,bases:4,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Merrill Kelly,age:30,games:30,plate_appearances:60,at_bats:52,runs:3,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:25,batting_avg:.019,onbase:.056,slugging:.019,ops:erc">.019,ops+:lugging">.075,bases:1,double_plays:2,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Zack Greinke,age:35,games:24,plate_appearances:54,at_bats:48,runs:7,hits:13,doubles:4,triples:1,home_runs:3,runs_batted_in:8,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.271,onbase:.300,slugging:.583,ops:erc">.583,ops+:lugging">.883,bases:28,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Taylor Clarke,age:26,games:21,plate_appearances:25,at_bats:24,runs:2,hits:6,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:10,batting_avg:.250,onbase:.250,slugging:.375,ops:erc">.375,ops+:lugging">.625,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Alex Young,age:25,games:16,plate_appearances:25,at_bats:25,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:18,batting_avg:.040,onbase:.040,slugging:.040,ops:erc">.040,ops+:lugging">.080,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Zack Godley,age:29,games:23,plate_appearances:22,at_bats:18,runs:3,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.167,onbase:.286,slugging:.167,ops:erc">.167,ops+:lugging">.452,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mike Leake,age:31,games:10,plate_appearances:22,at_bats:20,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:11,batting_avg:.050,onbase:.050,slugging:.050,ops:erc">.050,ops+:lugging">.100,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Luke Weaver,age:25,games:13,plate_appearances:21,at_bats:19,runs:2,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:11,batting_avg:.105,onbase:.100,slugging:.263,ops:erc">.263,ops+:lugging">.363,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:P,name:Zac Gallen,age:23,games:8,plate_appearances:13,at_bats:9,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.111,onbase:.111,slugging:.111,ops:erc">.111,ops+:lugging">.222,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Jon Duplantier,age:24,games:15,plate_appearances:8,at_bats:8,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Matt Andriese,age:29,games:51,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Matt Koch,age:28,games:9,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:T.J. McFarland,age:30,games:47,plate_appearances:5,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
