pos:C,name:Miguel Montero,age:30,games:136,plate_appearances:560,at_bats:489,runs:40,hits:119,doubles:23,triples:0,home_runs:13,runs_batted_in:72,stolen_bases:0,caught_stealing:4,walks:56,strikeouts:97,batting_avg:.243,onbase:.329,slugging:.370,ops:erc">.370,ops+:lugging">.699,bases:181,double_plays:12,hit_by_pitch:9,sac_hits:0,sac_flies:6,intentional_walks:11
pos:1B,name:Paul Goldschmidt,age:26,games:109,plate_appearances:479,at_bats:406,runs:75,hits:122,doubles:39,triples:1,home_runs:19,runs_batted_in:69,stolen_bases:9,caught_stealing:3,walks:64,strikeouts:110,batting_avg:.300,onbase:.396,slugging:.542,ops:erc">.542,ops+:lugging">.938,bases:220,double_plays:10,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:10
pos:2B,name:Aaron Hill,age:32,games:133,plate_appearances:541,at_bats:501,runs:52,hits:122,doubles:26,triples:3,home_runs:10,runs_batted_in:60,stolen_bases:4,caught_stealing:3,walks:28,strikeouts:92,batting_avg:.244,onbase:.287,slugging:.367,ops:erc">.367,ops+:lugging">.654,bases:184,double_plays:16,hit_by_pitch:5,sac_hits:0,sac_flies:7,intentional_walks:0
pos:SS,name:Didi Gregorius,age:24,games:80,plate_appearances:299,at_bats:270,runs:35,hits:61,doubles:9,triples:5,home_runs:6,runs_batted_in:27,stolen_bases:3,caught_stealing:0,walks:22,strikeouts:52,batting_avg:.226,onbase:.290,slugging:.363,ops:erc">.363,ops+:lugging">.653,bases:98,double_plays:1,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:3
pos:3B,name:Martin Prado,age:30,games:106,plate_appearances:436,at_bats:403,runs:44,hits:109,doubles:17,triples:4,home_runs:5,runs_batted_in:42,stolen_bases:2,caught_stealing:1,walks:23,strikeouts:57,batting_avg:.270,onbase:.317,slugging:.370,ops:erc">.370,ops+:lugging">.686,bases:149,double_plays:17,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:0
pos:LF,name:Mark Trumbo,age:28,games:88,plate_appearances:362,at_bats:328,runs:37,hits:77,doubles:15,triples:1,home_runs:14,runs_batted_in:61,stolen_bases:2,caught_stealing:3,walks:28,strikeouts:89,batting_avg:.235,onbase:.293,slugging:.415,ops:erc">.415,ops+:lugging">.707,bases:136,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:3
pos:CF,name:Ender Inciarte,age:23,games:118,plate_appearances:447,at_bats:418,runs:54,hits:116,doubles:18,triples:2,home_runs:4,runs_batted_in:27,stolen_bases:19,caught_stealing:3,walks:25,strikeouts:53,batting_avg:.278,onbase:.318,slugging:.359,ops:erc">.359,ops+:lugging">.677,bases:150,double_plays:3,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:RF,name:Gerardo Parra,age:27,games:104,plate_appearances:440,at_bats:406,runs:51,hits:105,doubles:18,triples:3,home_runs:6,runs_batted_in:30,stolen_bases:5,caught_stealing:5,walks:24,strikeouts:72,batting_avg:.259,onbase:.305,slugging:.362,ops:erc">.362,ops+:lugging">.667,bases:147,double_plays:6,hit_by_pitch:4,sac_hits:4,sac_flies:2,intentional_walks:3
pos:OF,name:David Peralta,age:26,games:88,plate_appearances:348,at_bats:329,runs:40,hits:94,doubles:12,triples:9,home_runs:8,runs_batted_in:36,stolen_bases:6,caught_stealing:3,walks:16,strikeouts:60,batting_avg:.286,onbase:.320,slugging:.450,ops:erc">.450,ops+:lugging">.770,bases:148,double_plays:9,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:MI,name:Chris Owings,age:22,games:91,plate_appearances:332,at_bats:310,runs:34,hits:81,doubles:15,triples:6,home_runs:6,runs_batted_in:26,stolen_bases:8,caught_stealing:1,walks:16,strikeouts:67,batting_avg:.261,onbase:.300,slugging:.406,ops:erc">.406,ops+:lugging">.706,bases:126,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:0
pos:CF,name:A.J. Pollock,age:26,games:75,plate_appearances:287,at_bats:265,runs:41,hits:80,doubles:19,triples:6,home_runs:7,runs_batted_in:24,stolen_bases:14,caught_stealing:3,walks:19,strikeouts:46,batting_avg:.302,onbase:.353,slugging:.498,ops:erc">.498,ops+:lugging">.851,bases:132,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:LF,name:Cody Ross,age:33,games:83,plate_appearances:219,at_bats:202,runs:15,hits:51,doubles:8,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:44,batting_avg:.252,onbase:.306,slugging:.322,ops:erc">.322,ops+:lugging">.628,bases:65,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:MI,name:Cliff Pennington,age:30,games:68,plate_appearances:201,at_bats:177,runs:21,hits:45,doubles:5,triples:3,home_runs:2,runs_batted_in:10,stolen_bases:6,caught_stealing:1,walks:20,strikeouts:36,batting_avg:.254,onbase:.340,slugging:.350,ops:erc">.350,ops+:lugging">.690,bases:62,double_plays:1,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Jake Lamb,age:23,games:37,plate_appearances:133,at_bats:126,runs:15,hits:29,doubles:4,triples:1,home_runs:4,runs_batted_in:11,stolen_bases:1,caught_stealing:1,walks:6,strikeouts:37,batting_avg:.230,onbase:.263,slugging:.373,ops:erc">.373,ops+:lugging">.636,bases:47,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Tuffy Gosewisch,age:30,games:41,plate_appearances:132,at_bats:129,runs:6,hits:29,doubles:8,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:24,batting_avg:.225,onbase:.242,slugging:.310,ops:erc">.310,ops+:lugging">.553,bases:40,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Alfredo Marte,age:25,games:44,plate_appearances:114,at_bats:106,runs:8,hits:18,doubles:5,triples:1,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:34,batting_avg:.170,onbase:.221,slugging:.292,ops:erc">.292,ops+:lugging">.514,bases:31,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Jordan Pacheco,age:28,games:47,plate_appearances:85,at_bats:81,runs:6,hits:22,doubles:4,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:12,batting_avg:.272,onbase:.298,slugging:.321,ops:erc">.321,ops+:lugging">.619,bases:26,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Eric Chavez,age:36,games:44,plate_appearances:81,at_bats:69,runs:6,hits:17,doubles:3,triples:1,home_runs:3,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:19,batting_avg:.246,onbase:.346,slugging:.449,ops:erc">.449,ops+:lugging">.795,bases:31,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Nick Ahmed,age:24,games:25,plate_appearances:75,at_bats:70,runs:9,hits:14,doubles:2,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:10,batting_avg:.200,onbase:.233,slugging:.271,ops:erc">.271,ops+:lugging">.504,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Tony Campana,age:28,games:26,plate_appearances:61,at_bats:60,runs:4,hits:9,doubles:1,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:4,caught_stealing:1,walks:0,strikeouts:10,batting_avg:.150,onbase:.164,slugging:.200,ops:erc">.200,ops+:lugging">.364,bases:12,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Roger Kieschnick,age:27,games:25,plate_appearances:41,at_bats:41,runs:2,hits:8,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:16,batting_avg:.195,onbase:.195,slugging:.293,ops:erc">.293,ops+:lugging">.488,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Nick Evans,age:28,games:18,plate_appearances:23,at_bats:22,runs:2,hits:6,doubles:2,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.273,onbase:.304,slugging:.636,ops:erc">.636,ops+:lugging">.941,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Xavier Paul,age:29,games:14,plate_appearances:21,at_bats:20,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.100,onbase:.143,slugging:.100,ops:erc">.100,ops+:lugging">.243,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:LF,name:Nolan Reimold,age:30,games:7,plate_appearances:18,at_bats:17,runs:2,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:10,batting_avg:.294,onbase:.278,slugging:.529,ops:erc">.529,ops+:lugging">.807,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:3B,name:Andy Marte,age:30,games:6,plate_appearances:16,at_bats:16,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.188,onbase:.188,slugging:.375,ops:erc">.375,ops+:lugging">.563,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Brett Jackson,age:25,games:7,plate_appearances:5,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.200,slugging:.000,ops:erc">.000,ops+:lugging">.200,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Bobby Wilson,age:31,games:2,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wade Miley,age:27,games:31,plate_appearances:69,at_bats:57,runs:3,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.158,onbase:.200,slugging:.158,ops:erc">.158,ops+:lugging">.358,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Josh Collmenter,age:28,games:32,plate_appearances:58,at_bats:54,runs:2,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.111,onbase:.158,slugging:.148,ops:erc">.148,ops+:lugging">.306,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Chase Anderson,age:26,games:21,plate_appearances:41,at_bats:34,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:14,batting_avg:.029,onbase:.057,slugging:.029,ops:erc">.029,ops+:lugging">.087,bases:1,double_plays:0,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Brandon McCarthy,age:30,games:16,plate_appearances:32,at_bats:29,runs:0,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:11,batting_avg:.138,onbase:.138,slugging:.138,ops:erc">.138,ops+:lugging">.276,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Bronson Arroyo,age:37,games:15,plate_appearances:31,at_bats:27,runs:5,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:12,batting_avg:.222,onbase:.222,slugging:.222,ops:erc">.222,ops+:lugging">.444,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Trevor Cahill,age:26,games:31,plate_appearances:29,at_bats:24,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.083,onbase:.120,slugging:.125,ops:erc">.125,ops+:lugging">.245,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Vidal Nuno III,age:26,games:12,plate_appearances:25,at_bats:18,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.056,onbase:.105,slugging:.056,ops:erc">.056,ops+:lugging">.161,bases:1,double_plays:1,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Mike Bolsinger,age:26,games:10,plate_appearances:20,at_bats:19,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.105,onbase:.105,slugging:.105,ops:erc">.105,ops+:lugging">.211,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Randall Delgado,age:24,games:43,plate_appearances:11,at_bats:9,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.111,onbase:.111,slugging:.111,ops:erc">.111,ops+:lugging">.222,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
