pos:2B,name:Kurt Bevacqua,age:24,games:55,plate_appearances:145,at_bats:137,runs:9,hits:28,doubles:3,triples:1,home_runs:3,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:28,batting_avg:.204,onbase:.222,slugging:.307,ops:erc">.307,ops+:lugging">.529,bases:42,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:1
pos:IF,name:Gomer Hodge,age:27,games:80,plate_appearances:90,at_bats:83,runs:3,hits:17,doubles:3,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:19,batting_avg:.205,onbase:.256,slugging:.277,ops:erc">.277,ops+:lugging">.533,bases:23,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:MI,name:Lou Camilli,age:24,games:39,plate_appearances:89,at_bats:81,runs:5,hits:16,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:10,batting_avg:.198,onbase:.270,slugging:.222,ops:erc">.222,ops+:lugging">.492,bases:18,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:SS,name:Larry Brown,age:31,games:13,plate_appearances:54,at_bats:50,runs:4,hits:11,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:3,batting_avg:.220,onbase:.278,slugging:.240,ops:erc">.240,ops+:lugging">.518,bases:12,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Buddy Bradford,age:26,games:20,plate_appearances:44,at_bats:38,runs:4,hits:6,doubles:2,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:10,batting_avg:.158,onbase:.273,slugging:.263,ops:erc">.263,ops+:lugging">.536,bases:10,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Jim Clark,age:24,games:13,plate_appearances:20,at_bats:18,runs:2,hits:3,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.167,onbase:.250,slugging:.278,ops:erc">.278,ops+:lugging">.528,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sam McDowell,age:28,games:35,plate_appearances:80,at_bats:73,runs:1,hits:13,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:26,batting_avg:.178,onbase:.189,slugging:.178,ops:erc">.178,ops+:lugging">.367,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Steve Dunning,age:22,games:32,plate_appearances:68,at_bats:55,runs:5,hits:10,doubles:1,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:19,batting_avg:.182,onbase:.233,slugging:.255,ops:erc">.255,ops+:lugging">.488,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:1,intentional_walks:0
pos:P,name:Alan Foster,age:24,games:37,plate_appearances:60,at_bats:51,runs:2,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:18,batting_avg:.039,onbase:.057,slugging:.059,ops:erc">.059,ops+:lugging">.115,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:1,intentional_walks:0
pos:P,name:Ray Lamb,age:26,games:43,plate_appearances:49,at_bats:43,runs:3,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:20,batting_avg:.093,onbase:.133,slugging:.093,ops:erc">.093,ops+:lugging">.226,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
