pos:C,name:Sandy Alomar,age:34,games:97,plate_appearances:384,at_bats:356,runs:44,hits:103,doubles:16,triples:2,home_runs:7,runs_batted_in:42,stolen_bases:2,caught_stealing:2,walks:16,strikeouts:41,batting_avg:.289,onbase:.324,slugging:.404,ops:erc">.404,ops+:lugging">.728,bases:144,double_plays:9,hit_by_pitch:4,sac_hits:4,sac_flies:4,intentional_walks:1
pos:1B,name:Jim Thome,age:29,games:158,plate_appearances:684,at_bats:557,runs:106,hits:150,doubles:33,triples:1,home_runs:37,runs_batted_in:106,stolen_bases:1,caught_stealing:0,walks:118,strikeouts:171,batting_avg:.269,onbase:.398,slugging:.531,ops:erc">.531,ops+:lugging">.929,bases:296,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:4
pos:2B,name:Roberto Alomar,age:32,games:155,plate_appearances:697,at_bats:610,runs:111,hits:189,doubles:40,triples:2,home_runs:19,runs_batted_in:89,stolen_bases:39,caught_stealing:4,walks:64,strikeouts:82,batting_avg:.310,onbase:.378,slugging:.475,ops:erc">.475,ops+:lugging">.853,bases:290,double_plays:19,hit_by_pitch:6,sac_hits:11,sac_flies:6,intentional_walks:4
pos:SS,name:Omar Vizquel,age:33,games:156,plate_appearances:717,at_bats:613,runs:101,hits:176,doubles:27,triples:3,home_runs:7,runs_batted_in:66,stolen_bases:22,caught_stealing:10,walks:87,strikeouts:72,batting_avg:.287,onbase:.377,slugging:.375,ops:erc">.375,ops+:lugging">.753,bases:230,double_plays:13,hit_by_pitch:5,sac_hits:7,sac_flies:5,intentional_walks:0
pos:3B,name:Travis Fryman,age:31,games:155,plate_appearances:658,at_bats:574,runs:93,hits:184,doubles:38,triples:4,home_runs:22,runs_batted_in:106,stolen_bases:1,caught_stealing:1,walks:73,strikeouts:111,batting_avg:.321,onbase:.392,slugging:.516,ops:erc">.516,ops+:lugging">.908,bases:296,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:10,intentional_walks:2
pos:LF,name:Richie Sexson,age:25,games:91,plate_appearances:356,at_bats:324,runs:45,hits:83,doubles:16,triples:1,home_runs:16,runs_batted_in:44,stolen_bases:1,caught_stealing:0,walks:25,strikeouts:96,batting_avg:.256,onbase:.315,slugging:.460,ops:erc">.460,ops+:lugging">.774,bases:149,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:0
pos:CF,name:Kenny Lofton,age:33,games:137,plate_appearances:640,at_bats:543,runs:107,hits:151,doubles:23,triples:5,home_runs:15,runs_batted_in:73,stolen_bases:30,caught_stealing:7,walks:79,strikeouts:72,batting_avg:.278,onbase:.369,slugging:.422,ops:erc">.422,ops+:lugging">.791,bases:229,double_plays:11,hit_by_pitch:4,sac_hits:6,sac_flies:8,intentional_walks:3
pos:RF,name:Manny Ramirez,age:28,games:118,plate_appearances:532,at_bats:439,runs:92,hits:154,doubles:34,triples:2,home_runs:38,runs_batted_in:122,stolen_bases:1,caught_stealing:1,walks:86,strikeouts:117,batting_avg:.351,onbase:.457,slugging:.697,ops:erc">.697,ops+:lugging">1.154,bases:306,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:9
pos:DH,name:Russell Branyan,age:24,games:67,plate_appearances:220,at_bats:193,runs:32,hits:46,doubles:7,triples:2,home_runs:16,runs_batted_in:38,stolen_bases:0,caught_stealing:0,walks:22,strikeouts:76,batting_avg:.238,onbase:.327,slugging:.544,ops:erc">.544,ops+:lugging">.871,bases:105,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:David Justice,age:34,games:68,plate_appearances:288,at_bats:249,runs:46,hits:66,doubles:14,triples:1,home_runs:21,runs_batted_in:58,stolen_bases:1,caught_stealing:1,walks:38,strikeouts:49,batting_avg:.265,onbase:.361,slugging:.582,ops:erc">.582,ops+:lugging">.943,bases:145,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Einar Diaz,age:27,games:75,plate_appearances:275,at_bats:250,runs:29,hits:68,doubles:14,triples:2,home_runs:4,runs_batted_in:25,stolen_bases:4,caught_stealing:2,walks:11,strikeouts:29,batting_avg:.272,onbase:.323,slugging:.392,ops:erc">.392,ops+:lugging">.715,bases:98,double_plays:7,hit_by_pitch:8,sac_hits:6,sac_flies:0,intentional_walks:0
pos:1B,name:David Segui,age:33,games:57,plate_appearances:245,at_bats:223,runs:41,hits:74,doubles:13,triples:0,home_runs:8,runs_batted_in:46,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:33,batting_avg:.332,onbase:.384,slugging:.498,ops:erc">.498,ops+:lugging">.881,bases:111,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:CF,name:Jolbert Cabrera,age:27,games:100,plate_appearances:187,at_bats:175,runs:27,hits:44,doubles:3,triples:1,home_runs:2,runs_batted_in:15,stolen_bases:6,caught_stealing:4,walks:8,strikeouts:15,batting_avg:.251,onbase:.290,slugging:.314,ops:erc">.314,ops+:lugging">.605,bases:55,double_plays:1,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:LF,name:Wil Cordero,age:28,games:38,plate_appearances:158,at_bats:148,runs:18,hits:39,doubles:11,triples:2,home_runs:0,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:18,batting_avg:.264,onbase:.310,slugging:.365,ops:erc">.365,ops+:lugging">.675,bases:54,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Enrique Wilson,age:26,games:40,plate_appearances:127,at_bats:117,runs:16,hits:38,doubles:9,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:11,batting_avg:.325,onbase:.360,slugging:.453,ops:erc">.453,ops+:lugging">.813,bases:53,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:OF,name:Alex Ramirez,age:25,games:41,plate_appearances:117,at_bats:112,runs:13,hits:32,doubles:5,triples:1,home_runs:5,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:17,batting_avg:.286,onbase:.316,slugging:.482,ops:erc">.482,ops+:lugging">.798,bases:54,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Ricky Ledee,age:26,games:17,plate_appearances:71,at_bats:63,runs:13,hits:14,doubles:2,triples:1,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:9,batting_avg:.222,onbase:.310,slugging:.381,ops:erc">.381,ops+:lugging">.691,bases:24,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
