pos:MI,name:Mike Fischlin,age:29,games:73,plate_appearances:69,at_bats:60,runs:12,hits:12,doubles:4,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:7,batting_avg:.200,onbase:.262,slugging:.300,ops:erc">.300,ops+:lugging">.562,bases:18,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:SS,name:Johnnie LeMaster,age:31,games:11,plate_appearances:21,at_bats:20,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:6,batting_avg:.150,onbase:.150,slugging:.150,ops:erc">.150,ops+:lugging">.300,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Jim Wilson,age:24,games:4,plate_appearances:15,at_bats:14,runs:2,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.357,onbase:.400,slugging:.357,ops:erc">.357,ops+:lugging">.757,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jerry Reed,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Barkley,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Waddell,age:26,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Neal Heaton,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jose Roman,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Roy Smith,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ernie Camacho,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
