pos:OF,name:Brian Goodwin,age:25,games:22,plate_appearances:44,at_bats:42,runs:1,hits:12,doubles:4,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:14,batting_avg:.286,onbase:.318,slugging:.429,ops:erc">.429,ops+:lugging">.747,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Matt den Dekker,age:28,games:19,plate_appearances:39,at_bats:34,runs:3,hits:6,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:10,batting_avg:.176,onbase:.282,slugging:.294,ops:erc">.294,ops+:lugging">.576,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Pedro Severino,age:22,games:16,plate_appearances:34,at_bats:28,runs:6,hits:9,doubles:2,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:3,batting_avg:.321,onbase:.441,slugging:.607,ops:erc">.607,ops+:lugging">1.048,bases:17,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Spencer Kieboom,age:25,games:1,plate_appearances:1,at_bats:0,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:,onbase:1.000,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Max Scherzer,age:31,games:33,plate_appearances:85,at_bats:70,runs:4,hits:13,doubles:1,triples:0,home_runs:0,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:30,batting_avg:.186,onbase:.208,slugging:.200,ops:erc">.200,ops+:lugging">.408,bases:14,double_plays:1,hit_by_pitch:0,sac_hits:13,sac_flies:0,intentional_walks:0
pos:P,name:Tanner Roark,age:29,games:33,plate_appearances:75,at_bats:64,runs:1,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:25,batting_avg:.125,onbase:.188,slugging:.141,ops:erc">.141,ops+:lugging">.329,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Gio Gonzalez,age:30,games:29,plate_appearances:59,at_bats:52,runs:1,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:24,batting_avg:.135,onbase:.148,slugging:.173,ops:erc">.173,ops+:lugging">.321,bases:9,double_plays:0,hit_by_pitch:1,sac_hits:5,sac_flies:1,intentional_walks:0
pos:P,name:Stephen Strasburg,age:27,games:22,plate_appearances:57,at_bats:48,runs:3,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.208,onbase:.240,slugging:.229,ops:erc">.229,ops+:lugging">.469,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Joe Ross,age:23,games:22,plate_appearances:44,at_bats:41,runs:2,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.244,onbase:.295,slugging:.293,ops:erc">.293,ops+:lugging">.588,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Reynaldo Lopez,age:22,games:10,plate_appearances:14,at_bats:12,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.083,onbase:.083,slugging:.083,ops:erc">.083,ops+:lugging">.167,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:A.J. Cole,age:24,games:7,plate_appearances:8,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Yusmeiro Petit,age:31,games:33,plate_appearances:7,at_bats:6,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Lucas Giolito,age:21,games:6,plate_appearances:6,at_bats:4,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Matt Belisle,age:36,games:38,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sammy Solis,age:27,games:35,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
