pos:C,name:Wilson Ramos,age:22,games:15,plate_appearances:54,at_bats:52,runs:3,hits:14,doubles:4,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.269,onbase:.296,slugging:.404,ops:erc">.404,ops+:lugging">.700,bases:21,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Willy Taveras,age:28,games:27,plate_appearances:37,at_bats:35,runs:7,hits:7,doubles:0,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:2,walks:2,strikeouts:6,batting_avg:.200,onbase:.243,slugging:.257,ops:erc">.257,ops+:lugging">.500,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Kevin Mench,age:32,games:27,plate_appearances:29,at_bats:27,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.111,onbase:.172,slugging:.111,ops:erc">.111,ops+:lugging">.284,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Carlos Maldonado,age:31,games:4,plate_appearances:12,at_bats:11,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.273,onbase:.333,slugging:.545,ops:erc">.545,ops+:lugging">.879,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Jamie Burke,age:38,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Livan Hernandez,age:35,games:33,plate_appearances:71,at_bats:61,runs:2,hits:9,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:13,batting_avg:.148,onbase:.161,slugging:.213,ops:erc">.213,ops+:lugging">.374,bases:13,double_plays:2,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:John Lannan,age:25,games:24,plate_appearances:50,at_bats:44,runs:1,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:22,batting_avg:.091,onbase:.167,slugging:.136,ops:erc">.136,ops+:lugging">.303,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Craig Stammen,age:26,games:36,plate_appearances:43,at_bats:38,runs:2,hits:9,doubles:3,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:15,batting_avg:.237,onbase:.250,slugging:.316,ops:erc">.316,ops+:lugging">.566,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
pos:P,name:Scott Olsen,age:26,games:17,plate_appearances:28,at_bats:24,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:12,batting_avg:.083,onbase:.083,slugging:.083,ops:erc">.083,ops+:lugging">.167,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Luis Atilano,age:25,games:13,plate_appearances:27,at_bats:25,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:10,batting_avg:.040,onbase:.040,slugging:.040,ops:erc">.040,ops+:lugging">.080,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Jason Marquis,age:31,games:17,plate_appearances:24,at_bats:22,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.136,onbase:.136,slugging:.182,ops:erc">.182,ops+:lugging">.318,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Stephen Strasburg,age:21,games:11,plate_appearances:22,at_bats:20,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.050,onbase:.050,slugging:.050,ops:erc">.050,ops+:lugging">.100,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:J.D. Martin,age:27,games:8,plate_appearances:14,at_bats:12,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.167,onbase:.167,slugging:.250,ops:erc">.250,ops+:lugging">.417,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Jordan Zimmermann,age:24,games:7,plate_appearances:10,at_bats:10,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Miguel Batista,age:39,games:54,plate_appearances:9,at_bats:8,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Yunesky Maya,age:28,games:5,plate_appearances:9,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Ross Detwiler,age:24,games:8,plate_appearances:7,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tyler Clippard,age:25,games:74,plate_appearances:3,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Joel Peralta,age:34,games:38,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tyler Walker,age:34,games:22,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Matt Chico,age:27,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
