pos:C,name:Wilson Ramos,age:26,games:88,plate_appearances:361,at_bats:341,runs:32,hits:91,doubles:12,triples:0,home_runs:11,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:57,batting_avg:.267,onbase:.299,slugging:.399,ops:erc">.399,ops+:lugging">.698,bases:136,double_plays:17,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:2
pos:1B,name:Adam LaRoche,age:34,games:140,plate_appearances:586,at_bats:494,runs:73,hits:128,doubles:19,triples:0,home_runs:26,runs_batted_in:92,stolen_bases:3,caught_stealing:0,walks:82,strikeouts:108,batting_avg:.259,onbase:.362,slugging:.455,ops:erc">.455,ops+:lugging">.817,bases:225,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:8,intentional_walks:9
pos:2B,name:Danny Espinosa,age:27,games:114,plate_appearances:364,at_bats:333,runs:31,hits:73,doubles:14,triples:3,home_runs:8,runs_batted_in:27,stolen_bases:8,caught_stealing:1,walks:18,strikeouts:122,batting_avg:.219,onbase:.283,slugging:.351,ops:erc">.351,ops+:lugging">.634,bases:117,double_plays:5,hit_by_pitch:12,sac_hits:0,sac_flies:1,intentional_walks:5
pos:SS,name:Ian Desmond,age:28,games:154,plate_appearances:648,at_bats:593,runs:73,hits:151,doubles:26,triples:3,home_runs:24,runs_batted_in:91,stolen_bases:24,caught_stealing:5,walks:46,strikeouts:183,batting_avg:.255,onbase:.313,slugging:.430,ops:erc">.430,ops+:lugging">.743,bases:255,double_plays:17,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:0
pos:3B,name:Anthony Rendon,age:24,games:153,plate_appearances:683,at_bats:613,runs:111,hits:176,doubles:39,triples:6,home_runs:21,runs_batted_in:83,stolen_bases:17,caught_stealing:3,walks:58,strikeouts:104,batting_avg:.287,onbase:.351,slugging:.473,ops:erc">.473,ops+:lugging">.824,bases:290,double_plays:11,hit_by_pitch:5,sac_hits:2,sac_flies:5,intentional_walks:2
pos:LF,name:Bryce Harper,age:21,games:100,plate_appearances:395,at_bats:352,runs:41,hits:96,doubles:10,triples:2,home_runs:13,runs_batted_in:32,stolen_bases:2,caught_stealing:2,walks:38,strikeouts:104,batting_avg:.273,onbase:.344,slugging:.423,ops:erc">.423,ops+:lugging">.768,bases:149,double_plays:6,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:4
pos:CF,name:Denard Span,age:30,games:147,plate_appearances:668,at_bats:610,runs:94,hits:184,doubles:39,triples:8,home_runs:5,runs_batted_in:37,stolen_bases:31,caught_stealing:7,walks:50,strikeouts:65,batting_avg:.302,onbase:.355,slugging:.416,ops:erc">.416,ops+:lugging">.771,bases:254,double_plays:6,hit_by_pitch:2,sac_hits:3,sac_flies:3,intentional_walks:1
pos:RF,name:Jayson Werth,age:35,games:147,plate_appearances:629,at_bats:534,runs:85,hits:156,doubles:37,triples:1,home_runs:16,runs_batted_in:82,stolen_bases:9,caught_stealing:1,walks:83,strikeouts:113,batting_avg:.292,onbase:.394,slugging:.455,ops:erc">.455,ops+:lugging">.849,bases:243,double_plays:9,hit_by_pitch:9,sac_hits:0,sac_flies:3,intentional_walks:3
pos:UT,name:Ryan Zimmerman,age:29,games:61,plate_appearances:240,at_bats:214,runs:26,hits:60,doubles:19,triples:1,home_runs:5,runs_batted_in:38,stolen_bases:0,caught_stealing:0,walks:22,strikeouts:37,batting_avg:.280,onbase:.342,slugging:.449,ops:erc">.449,ops+:lugging">.790,bases:96,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:0
pos:UT,name:Kevin Frandsen,age:32,games:105,plate_appearances:236,at_bats:220,runs:17,hits:57,doubles:8,triples:0,home_runs:1,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:26,batting_avg:.259,onbase:.299,slugging:.309,ops:erc">.309,ops+:lugging">.608,bases:68,double_plays:7,hit_by_pitch:7,sac_hits:2,sac_flies:1,intentional_walks:0
pos:C,name:Jose Lobaton,age:29,games:66,plate_appearances:230,at_bats:214,runs:18,hits:50,doubles:9,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:61,batting_avg:.234,onbase:.287,slugging:.304,ops:erc">.304,ops+:lugging">.591,bases:65,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
