pos:UT,name:Len Gabrielson,age:30,games:43,plate_appearances:44,at_bats:42,runs:1,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:15,batting_avg:.190,onbase:.205,slugging:.238,ops:erc">.238,ops+:lugging">.443,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Gary Moore,age:25,games:7,plate_appearances:16,at_bats:16,runs:2,hits:3,doubles:0,triples:2,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.188,onbase:.188,slugging:.438,ops:erc">.438,ops+:lugging">.625,bases:7,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Tom Paciorek,age:23,games:8,plate_appearances:10,at_bats:9,runs:2,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.222,onbase:.300,slugging:.333,ops:erc">.333,ops+:lugging">.633,bases:3,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Joe Ferguson,age:23,games:5,plate_appearances:7,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.250,onbase:.429,slugging:.250,ops:erc">.250,ops+:lugging">.679,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Bob Stinson,age:24,games:4,plate_appearances:3,at_bats:3,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Don Sutton,age:25,games:40,plate_appearances:100,at_bats:84,runs:6,hits:13,doubles:2,triples:1,home_runs:0,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:22,batting_avg:.155,onbase:.253,slugging:.202,ops:erc">.202,ops+:lugging">.455,bases:17,double_plays:1,hit_by_pitch:1,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Claude Osteen,age:30,games:39,plate_appearances:100,at_bats:93,runs:10,hits:19,doubles:5,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:20,batting_avg:.204,onbase:.232,slugging:.290,ops:erc">.290,ops+:lugging">.523,bases:27,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:P,name:Alan Foster,age:23,games:33,plate_appearances:78,at_bats:64,runs:4,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:13,batting_avg:.109,onbase:.171,slugging:.109,ops:erc">.109,ops+:lugging">.281,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:8,sac_flies:1,intentional_walks:0
pos:P,name:Joe Moeller,age:27,games:31,plate_appearances:45,at_bats:39,runs:2,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:21,batting_avg:.154,onbase:.214,slugging:.154,ops:erc">.154,ops+:lugging">.368,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Sandy Vance,age:23,games:20,plate_appearances:42,at_bats:37,runs:2,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.189,onbase:.211,slugging:.216,ops:erc">.216,ops+:lugging">.427,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Bill Singer,age:26,games:16,plate_appearances:41,at_bats:38,runs:4,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:10,batting_avg:.132,onbase:.175,slugging:.158,ops:erc">.158,ops+:lugging">.333,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jim Brewer,age:32,games:58,plate_appearances:14,at_bats:12,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.083,onbase:.154,slugging:.083,ops:erc">.083,ops+:lugging">.237,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Fred Norman,age:27,games:30,plate_appearances:11,at_bats:7,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.143,onbase:.333,slugging:.143,ops:erc">.143,ops+:lugging">.476,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Jose Pena,age:27,games:29,plate_appearances:10,at_bats:8,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:1,batting_avg:.125,onbase:.300,slugging:.125,ops:erc">.125,ops+:lugging">.425,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Strahler,age:23,games:6,plate_appearances:8,at_bats:8,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pete Mikkelsen,age:30,games:33,plate_appearances:7,at_bats:6,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ray Lamb,age:25,games:35,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Hough,age:22,games:8,plate_appearances:3,at_bats:3,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jerry Stephenson,age:26,games:3,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Camilo Pascual,age:36,games:10,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Al McBean,age:32,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
