pos:C,name:Russell Martin,age:26,games:143,plate_appearances:588,at_bats:505,runs:63,hits:126,doubles:19,triples:0,home_runs:7,runs_batted_in:53,stolen_bases:11,caught_stealing:6,walks:69,strikeouts:80,batting_avg:.250,onbase:.352,slugging:.329,ops:erc">.329,ops+:lugging">.680,bases:166,double_plays:18,hit_by_pitch:11,sac_hits:2,sac_flies:1,intentional_walks:9
pos:1B,name:James Loney,age:25,games:158,plate_appearances:652,at_bats:576,runs:73,hits:162,doubles:25,triples:2,home_runs:13,runs_batted_in:90,stolen_bases:7,caught_stealing:3,walks:70,strikeouts:68,batting_avg:.281,onbase:.357,slugging:.399,ops:erc">.399,ops+:lugging">.756,bases:230,double_plays:16,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:10
pos:2B,name:Orlando Hudson,age:31,games:149,plate_appearances:631,at_bats:551,runs:74,hits:156,doubles:35,triples:6,home_runs:9,runs_batted_in:62,stolen_bases:8,caught_stealing:1,walks:62,strikeouts:99,batting_avg:.283,onbase:.357,slugging:.417,ops:erc">.417,ops+:lugging">.774,bases:230,double_plays:16,hit_by_pitch:4,sac_hits:9,sac_flies:5,intentional_walks:4
pos:SS,name:Rafael Furcal,age:31,games:150,plate_appearances:680,at_bats:613,runs:92,hits:165,doubles:28,triples:5,home_runs:9,runs_batted_in:47,stolen_bases:12,caught_stealing:6,walks:61,strikeouts:89,batting_avg:.269,onbase:.335,slugging:.375,ops:erc">.375,ops+:lugging">.711,bases:230,double_plays:11,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:2
pos:3B,name:Casey Blake,age:35,games:139,plate_appearances:565,at_bats:485,runs:84,hits:136,doubles:25,triples:6,home_runs:18,runs_batted_in:79,stolen_bases:3,caught_stealing:4,walks:63,strikeouts:116,batting_avg:.280,onbase:.363,slugging:.468,ops:erc">.468,ops+:lugging">.832,bases:227,double_plays:12,hit_by_pitch:6,sac_hits:1,sac_flies:10,intentional_walks:8
pos:LF,name:Manny Ramirez,age:37,games:104,plate_appearances:431,at_bats:352,runs:62,hits:102,doubles:24,triples:2,home_runs:19,runs_batted_in:63,stolen_bases:0,caught_stealing:1,walks:71,strikeouts:81,batting_avg:.290,onbase:.418,slugging:.531,ops:erc">.531,ops+:lugging">.949,bases:187,double_plays:7,hit_by_pitch:7,sac_hits:0,sac_flies:1,intentional_walks:21
pos:CF,name:Matt Kemp,age:24,games:159,plate_appearances:667,at_bats:606,runs:97,hits:180,doubles:25,triples:7,home_runs:26,runs_batted_in:101,stolen_bases:34,caught_stealing:8,walks:52,strikeouts:139,batting_avg:.297,onbase:.352,slugging:.490,ops:erc">.490,ops+:lugging">.842,bases:297,double_plays:14,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:6
pos:RF,name:Andre Ethier,age:27,games:160,plate_appearances:685,at_bats:596,runs:92,hits:162,doubles:42,triples:3,home_runs:31,runs_batted_in:106,stolen_bases:6,caught_stealing:4,walks:72,strikeouts:116,batting_avg:.272,onbase:.361,slugging:.508,ops:erc">.508,ops+:lugging">.869,bases:303,double_plays:19,hit_by_pitch:13,sac_hits:0,sac_flies:4,intentional_walks:10
pos:LF,name:Juan Pierre,age:31,games:145,plate_appearances:425,at_bats:380,runs:57,hits:117,doubles:16,triples:8,home_runs:0,runs_batted_in:31,stolen_bases:30,caught_stealing:12,walks:27,strikeouts:27,batting_avg:.308,onbase:.365,slugging:.392,ops:erc">.392,ops+:lugging">.757,bases:149,double_plays:7,hit_by_pitch:8,sac_hits:9,sac_flies:1,intentional_walks:3
pos:CI,name:Mark Loretta,age:37,games:107,plate_appearances:204,at_bats:181,runs:19,hits:42,doubles:8,triples:0,home_runs:0,runs_batted_in:25,stolen_bases:1,caught_stealing:1,walks:20,strikeouts:21,batting_avg:.232,onbase:.309,slugging:.276,ops:erc">.276,ops+:lugging">.585,bases:50,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:MI,name:Juan Castro,age:37,games:57,plate_appearances:121,at_bats:112,runs:18,hits:31,doubles:4,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:25,batting_avg:.277,onbase:.311,slugging:.339,ops:erc">.339,ops+:lugging">.650,bases:38,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:1
