pos:C,name:Austin Barnes,age:29,games:75,plate_appearances:242,at_bats:212,runs:28,hits:43,doubles:12,triples:1,home_runs:5,runs_batted_in:25,stolen_bases:3,caught_stealing:0,walks:23,strikeouts:56,batting_avg:.203,onbase:.293,slugging:.340,ops:erc">.340,ops+:lugging">.633,bases:72,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:3
pos:1B,name:Max Muncy,age:28,games:141,plate_appearances:589,at_bats:487,runs:101,hits:122,doubles:22,triples:1,home_runs:35,runs_batted_in:98,stolen_bases:4,caught_stealing:1,walks:90,strikeouts:149,batting_avg:.251,onbase:.374,slugging:.515,ops:erc">.515,ops+:lugging">.889,bases:251,double_plays:5,hit_by_pitch:8,sac_hits:0,sac_flies:4,intentional_walks:1
pos:2B,name:Enrique Hernandez,age:27,games:130,plate_appearances:460,at_bats:414,runs:57,hits:98,doubles:19,triples:1,home_runs:17,runs_batted_in:64,stolen_bases:4,caught_stealing:0,walks:36,strikeouts:97,batting_avg:.237,onbase:.304,slugging:.411,ops:erc">.411,ops+:lugging">.715,bases:170,double_plays:9,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:3
