pos:C,name:Bob Montgomery,age:28,games:24,plate_appearances:81,at_bats:77,runs:7,hits:22,doubles:1,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.286,onbase:.309,slugging:.377,ops:erc">.377,ops+:lugging">.685,bases:29,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Dwight Evans,age:20,games:18,plate_appearances:64,at_bats:57,runs:2,hits:15,doubles:3,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:13,batting_avg:.263,onbase:.344,slugging:.404,ops:erc">.404,ops+:lugging">.747,bases:23,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Andy Kosco,age:30,games:17,plate_appearances:50,at_bats:47,runs:5,hits:10,doubles:2,triples:1,home_runs:3,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.213,onbase:.260,slugging:.489,ops:erc">.489,ops+:lugging">.749,bases:23,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Cecil Cooper,age:22,games:12,plate_appearances:19,at_bats:17,runs:0,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.235,onbase:.316,slugging:.294,ops:erc">.294,ops+:lugging">.610,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos: ,name:Bob Gallagher,age:24,games:7,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Vic Correll,age:26,games:1,plate_appearances:4,at_bats:4,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Marty Pattin,age:29,games:38,plate_appearances:94,at_bats:86,runs:4,hits:12,doubles:3,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:27,batting_avg:.140,onbase:.149,slugging:.244,ops:erc">.244,ops+:lugging">.394,bases:21,double_plays:2,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Sonny Siebert,age:35,games:33,plate_appearances:80,at_bats:72,runs:11,hits:17,doubles:4,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:21,batting_avg:.236,onbase:.304,slugging:.333,ops:erc">.333,ops+:lugging">.637,bases:24,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Luis Tiant,age:31,games:43,plate_appearances:61,at_bats:56,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:18,batting_avg:.107,onbase:.138,slugging:.125,ops:erc">.125,ops+:lugging">.263,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Lynn McGlothen,age:22,games:22,plate_appearances:58,at_bats:53,runs:6,hits:10,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.189,onbase:.200,slugging:.245,ops:erc">.245,ops+:lugging">.445,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
