pos:C,name:Carlton Fisk,age:27,games:79,plate_appearances:294,at_bats:263,runs:47,hits:87,doubles:14,triples:4,home_runs:10,runs_batted_in:52,stolen_bases:4,caught_stealing:3,walks:27,strikeouts:32,batting_avg:.331,onbase:.395,slugging:.529,ops:erc">.529,ops+:lugging">.923,bases:139,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:4
pos:1B,name:Carl Yastrzemski,age:35,games:149,plate_appearances:634,at_bats:543,runs:91,hits:146,doubles:30,triples:1,home_runs:14,runs_batted_in:60,stolen_bases:8,caught_stealing:4,walks:87,strikeouts:67,batting_avg:.269,onbase:.371,slugging:.405,ops:erc">.405,ops+:lugging">.776,bases:220,double_plays:14,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:12
pos:2B,name:Doug Griffin,age:28,games:100,plate_appearances:316,at_bats:287,runs:21,hits:69,doubles:6,triples:0,home_runs:1,runs_batted_in:29,stolen_bases:2,caught_stealing:2,walks:18,strikeouts:29,batting_avg:.240,onbase:.288,slugging:.272,ops:erc">.272,ops+:lugging">.560,bases:78,double_plays:8,hit_by_pitch:2,sac_hits:7,sac_flies:2,intentional_walks:0
pos:SS,name:Rick Burleson,age:24,games:158,plate_appearances:654,at_bats:580,runs:66,hits:146,doubles:25,triples:1,home_runs:6,runs_batted_in:62,stolen_bases:8,caught_stealing:5,walks:45,strikeouts:44,batting_avg:.252,onbase:.305,slugging:.329,ops:erc">.329,ops+:lugging">.634,bases:191,double_plays:18,hit_by_pitch:3,sac_hits:17,sac_flies:9,intentional_walks:1
pos:3B,name:Rico Petrocelli,age:32,games:115,plate_appearances:454,at_bats:402,runs:31,hits:96,doubles:15,triples:1,home_runs:7,runs_batted_in:59,stolen_bases:0,caught_stealing:2,walks:41,strikeouts:66,batting_avg:.239,onbase:.310,slugging:.333,ops:erc">.333,ops+:lugging">.644,bases:134,double_plays:16,hit_by_pitch:3,sac_hits:3,sac_flies:5,intentional_walks:1
pos:LF,name:Jim Rice,age:22,games:144,plate_appearances:613,at_bats:564,runs:92,hits:174,doubles:29,triples:4,home_runs:22,runs_batted_in:102,stolen_bases:10,caught_stealing:5,walks:36,strikeouts:122,batting_avg:.309,onbase:.350,slugging:.491,ops:erc">.491,ops+:lugging">.841,bases:277,double_plays:19,hit_by_pitch:4,sac_hits:1,sac_flies:8,intentional_walks:7
pos:CF,name:Fred Lynn,age:23,games:145,plate_appearances:605,at_bats:528,runs:103,hits:175,doubles:47,triples:7,home_runs:21,runs_batted_in:105,stolen_bases:10,caught_stealing:5,walks:62,strikeouts:90,batting_avg:.331,onbase:.401,slugging:.566,ops:erc">.566,ops+:lugging">.967,bases:299,double_plays:11,hit_by_pitch:3,sac_hits:6,sac_flies:6,intentional_walks:10
pos:RF,name:Dwight Evans,age:23,games:128,plate_appearances:470,at_bats:412,runs:61,hits:113,doubles:24,triples:6,home_runs:13,runs_batted_in:56,stolen_bases:3,caught_stealing:4,walks:47,strikeouts:60,batting_avg:.274,onbase:.353,slugging:.456,ops:erc">.456,ops+:lugging">.809,bases:188,double_plays:10,hit_by_pitch:4,sac_hits:5,sac_flies:2,intentional_walks:3
pos:DH,name:Cecil Cooper,age:25,games:106,plate_appearances:333,at_bats:305,runs:49,hits:95,doubles:17,triples:6,home_runs:14,runs_batted_in:44,stolen_bases:1,caught_stealing:4,walks:19,strikeouts:33,batting_avg:.311,onbase:.355,slugging:.544,ops:erc">.544,ops+:lugging">.899,bases:166,double_plays:3,hit_by_pitch:3,sac_hits:3,sac_flies:3,intentional_walks:6
pos:OF,name:Bernie Carbo,age:27,games:107,plate_appearances:407,at_bats:319,runs:64,hits:82,doubles:21,triples:3,home_runs:15,runs_batted_in:50,stolen_bases:2,caught_stealing:4,walks:83,strikeouts:69,batting_avg:.257,onbase:.409,slugging:.483,ops:erc">.483,ops+:lugging">.892,bases:154,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:5
pos:2B,name:Denny Doyle,age:31,games:89,plate_appearances:337,at_bats:310,runs:50,hits:96,doubles:21,triples:2,home_runs:4,runs_batted_in:36,stolen_bases:5,caught_stealing:7,walks:14,strikeouts:11,batting_avg:.310,onbase:.339,slugging:.429,ops:erc">.429,ops+:lugging">.768,bases:133,double_plays:5,hit_by_pitch:1,sac_hits:10,sac_flies:2,intentional_walks:0
