pos:C,name:Tim Blackwell,age:21,games:44,plate_appearances:135,at_bats:122,runs:9,hits:30,doubles:1,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:1,caught_stealing:1,walks:10,strikeouts:21,batting_avg:.246,onbase:.308,slugging:.270,ops:erc">.270,ops+:lugging">.579,bases:33,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
pos:3B,name:Terry Hughes,age:25,games:41,plate_appearances:79,at_bats:69,runs:5,hits:14,doubles:2,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:18,batting_avg:.203,onbase:.282,slugging:.275,ops:erc">.275,ops+:lugging">.557,bases:19,double_plays:0,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:DH,name:Jim Rice,age:21,games:24,plate_appearances:75,at_bats:67,runs:6,hits:18,doubles:2,triples:1,home_runs:1,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:12,batting_avg:.269,onbase:.307,slugging:.373,ops:erc">.373,ops+:lugging">.680,bases:25,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:OF,name:Fred Lynn,age:22,games:15,plate_appearances:51,at_bats:43,runs:5,hits:18,doubles:2,triples:2,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:6,batting_avg:.419,onbase:.490,slugging:.698,ops:erc">.698,ops+:lugging">1.188,bases:30,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Tim McCarver,age:32,games:11,plate_appearances:34,at_bats:28,runs:3,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:1,batting_avg:.250,onbase:.344,slugging:.286,ops:erc">.286,ops+:lugging">.629,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:2
pos:DH,name:Deron Johnson,age:35,games:11,plate_appearances:27,at_bats:25,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.120,onbase:.115,slugging:.120,ops:erc">.120,ops+:lugging">.235,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Bob Didier,age:25,games:5,plate_appearances:17,at_bats:14,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:1,batting_avg:.071,onbase:.176,slugging:.071,ops:erc">.071,ops+:lugging">.248,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:IF,name:John Kennedy,age:33,games:10,plate_appearances:16,at_bats:15,runs:3,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.133,onbase:.188,slugging:.333,ops:erc">.333,ops+:lugging">.521,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Chuck Goggin,age:28,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Juan Marichal,age:36,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
